bid_no,project_no,source_file,source_sheet,source_row,facility,scope_multiplier_scenario_low,scope_multiplier_scenario_high,scope_multiplier_basis,element_context,heading_context,row_type,item_code,description,trade_group,unit_raw,unit_normalized,quantity_base,quantity_formula,quantity_scaled_low,quantity_scaled_high,rate_ugx,rate_formula,amount_ugx,amount_formula,is_priced,qc_flag
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,18,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,D,Working and Storage Space,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,19,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,E,Site Instructions Book,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,21,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,3,GENERAL MATTERS,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,22,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,A,Tools and Plant,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,23,공통가설·일반조건,1,1,세부시트 1식,,,item_unquantified,B,"Safety, Health and Welfare of Work people",가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,24,공통가설·일반조건,1,1,세부시트 1식,,(i) HIV/AIDS and STD Prevention and Sensitization,heading,,(i) HIV/AIDS and STD Prevention and Sensitization,가설·일반조건,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,25,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,heading,,(ii) Environmental Social Safeguards compliance,가설·일반조건,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,26,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,C,Holidays and Transport for Work people,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,27,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,D,Provide Personal Protective Equipment (PPE),가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,28,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,E,Police Regulation,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,29,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,F,Water for the Works,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,30,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,G,Lighting and Power for the Works,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,31,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,H,Crossing and Temporary Roads,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,32,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,I,Contractor's Site Offices,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,33,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,J,Site Meetings,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,34,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,K,Sanitation of the Works,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,35,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,L,Workmen's accomodation,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,36,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,M,Hoarding and Screening,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,37,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,N,Scaffolding,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,38,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,O,Setting-out,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,39,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,P,Site Administration and Security,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,40,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,Q,Engraving/Labelling of the new buildings,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,42,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,4,SERVICES,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,43,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,A,Existing Services,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,44,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,B,Removing Rubbish and Clearing,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,45,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,C,Signboard,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,47,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,5,SECURITIES,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,48,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,A,Liability for Defects,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,49,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,B,Occupation Certificate,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,50,공통가설·일반조건,1,1,세부시트 1식,,(ii) Environmental Social Safeguards compliance,item_unquantified,C,Contract Conditions,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,51,공통가설·일반조건,1,1,세부시트 1식,,(i) Insurance of the Works-Contractor's all risks policy,heading,,(i) Insurance of the Works-Contractor's all risks policy,가설·일반조건,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,52,공통가설·일반조건,1,1,세부시트 1식,,(i) Insurance of the Works-Contractor's all risks policy,item_unquantified,D,Allow for production of 3 Sets of Hard and Soft Copies for the As built Electrical Installation drawings to be handled over to the Project Manager (and Client) for maintenance and records,가설·일반조건,,,,,,,,,,,False,unquantified_allowance;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,PRELIMINARIES,54,공통가설·일반조건,1,1,세부시트 1식,,(i) Insurance of the Works-Contractor's all risks policy,total,,TOTAL FOR BILL No 1 (PRELIMINARIES) CARRIED TO MAIN SUMMARY,가설·일반조건,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,EARTHWORKS,3,부지 토공,1,1,General Summary 수량 1,,,item,A,Excavate oversite average 200mm deep to remove vegetable top soil; spread and level on site as directed,토공·기초,SM,m²,5981.0,,5981.0,5981.0,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,EARTHWORKS,4,부지 토공,1,1,General Summary 수량 1,,,item,B,Mass excavation to reduce levels commencing from stripped level,토공·기초,CM,m³,1196.0,,1196.0,1196.0,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,EARTHWORKS,6,부지 토공,1,1,General Summary 수량 1,,,total,,TOTAL CARRIED TO GENERAL SURMARY,토공·기초,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,3,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,,heading,,ELEMENT NO.1,기타,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,4,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,SUBSTRUCTURE,heading,,SUBSTRUCTURE,토공·기초,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,5,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,SUBSTRUCTURE,item,A,"Clear site area for new construction of all under growth small bushes, grub up all tress and any exisiting structures and obstructions and excavate over site to remove top soil average 250mm thick and remove from site",토공·기초,SM,m²,0.0,,0.0,0.0,,,,,False,zero_quantity_check_formula_or_design;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,6,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,SUBSTRUCTURE,item,B,Treat surface of subsoil or fillings and surroundings with approved chemical anti-termite solution: provide ten year guarantee.,토공·기초,SM,m²,44.75,,44.75,44.75,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,7,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Excavation and Earthworks. Note: Rates for excavation to include for keeping excavations free from water and planking and strutting to sides of excavations,heading,,Excavation and Earthworks. Note: Rates for excavation to include for keeping excavations free from water and planking and strutting to sides of excavations,토공·기초,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,8,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Excavation and Earthworks. Note: Rates for excavation to include for keeping excavations free from water and planking and strutting to sides of excavations,item,C,Excavate to reduce levels and remove from site.,토공·기초,CM,m³,0.0,=D5*0.25,0.0,0.0,,,,,False,zero_quantity_check_formula_or_design;formula_quantity;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,9,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Excavation and Earthworks. Note: Rates for excavation to include for keeping excavations free from water and planking and strutting to sides of excavations,item,D,Excavate trenches for wall foundations: commencing from reduced levels : not exceeding 1.5m deep .,토공·기초,CM,m³,14.16,=(3.4+3.4+0.15+1.2*2+1.65*4+3+4.65)*0.6*1,14.16,14.16,,,,,False,formula_quantity;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,10,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Excavation and Earthworks. Note: Rates for excavation to include for keeping excavations free from water and planking and strutting to sides of excavations,item,,Ditto but excavation for the pit n.e 3m deep,토공·기초,CM,m³,9.0,=1.5*2*3,9.0,9.0,,,,,False,formula_quantity;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,11,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Excavation and Earthworks. Note: Rates for excavation to include for keeping excavations free from water and planking and strutting to sides of excavations,item,E,"Return, fill and ram: Approved imported marrum around foundations: in 200mm layers compacted to 95% MDD.",토공·기초,CM,m³,8.291999999999998,=D9-D14*0.1-D21*0.2,8.291999999999998,8.291999999999998,,,,,False,formula_quantity;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,12,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Excavation and Earthworks. Note: Rates for excavation to include for keeping excavations free from water and planking and strutting to sides of excavations,item,F,150mm thick hard core below ground slab,콘크리트·철근·거푸집,SM,m²,15.54,=(7.95*1.2)+(1*1.5*4),15.54,15.54,,,,,False,formula_quantity;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,13,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Reinforced In - Situ Concrete class 25/20mm aggregate,heading,,Reinforced In - Situ Concrete class 25/20mm aggregate,콘크리트·철근·거푸집,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,14,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Reinforced In - Situ Concrete class 25/20mm aggregate,item,G,Foundation in trenches,콘크리트·철근·거푸집,SM,m²,14.16,=(3.4+3.4+0.15+1.2*2+1.65*4+3+4.65)*0.6,14.16,14.16,,,,,False,formula_quantity;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,15,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Reinforced In - Situ Concrete class 25/20mm aggregate,item,H,150mm ground floor slab Concrete tampered with fabric reinforcement,콘크리트·철근·거푸집,SM,m²,15.54,=D12,15.54,15.54,,,,,False,formula_quantity;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,16,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Reinforced In - Situ Concrete class 25/20mm aggregate,item,I,Ramps and splash apron,콘크리트·철근·거푸집,SM,m²,5.399999999999999,=7.95*0.3+1.2*2*0.3+1.5*2*0.3+4.65*0.3,5.399999999999999,5.399999999999999,,,,,False,formula_quantity;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,17,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,Reinforced In - Situ Concrete class 25/20mm aggregate,item,J,Mesh reinforcement Ref No. A98 size 200 x 200 mm weighing 1.58 kg per square metre: in floor slab: including all necessary supports,콘크리트·철근·거푸집,SM,m²,15.54,=D15,15.54,15.54,,,,,False,formula_quantity;unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,18,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,sawn treated formwork to;,heading,,sawn treated formwork to;,콘크리트·철근·거푸집,,,,,,,,,,,False,unpriced_source
L2023-00009-1,2019-00005,data/unpacked/L2023-00009-1/2. 입찰서류(영문)/Part 2(░·╛≈┴÷╜├╝¡)/Section 4. Bill of Quantities_unpriced.xlsx,2-Stance Pit Latrine,19,2칸 재래식 화장실,1,1,General Summary 수량 1,ELEMENT NO.1,sawn treated formwork to;,item,K,Vertical edges of surface bed : over 75mm but not exceeding 150 mm high.,콘크리트·철근·거푸집,LM,m,21.900000000000002,=2*(7.95+1.2+1.5+0.3),21.900000000000002,21.900000000000002,,,,,False,formula_quantity;unpriced_source
