bid_no,project_no,notice_date,price_year_decimal,country,region,facility_type,work_type,gross_floor_area_m2,cost_usd_nominal,direct_unit_usd_m2,unit_usd_m2_nominal,evidence_grade,area_basis,cost_stage,scope_caution,normalization_status,recommended_unit_rate,allowed_use,source_period,source_file,source_locator,source_url,evidence_summary
L2025-00036-1,2024-00015,2025-05-30,2025.4082191780822,Cambodia,Phnom Penh,Dangkao 후송병원(70병상),신축,3700,6600000,,1783.7837837837837,A,문서 명시 연면적,심층기획조사 결과 추정공사비,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00036-1/붙임2. 입찰서류 영문본 일체/Section 6 - Related Project Information of RFP.pdf,페이지 3,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00036&P_PBLANC_ODR=1,"3층, GFA 3,700㎡, Construction Cost USD 6.6 million."
L2025-00016-2,2018-56501,2025-05-29,2025.4054794520548,Mozambique,Matola,학교 캠퍼스,개보수,15500,230586.0,,14.876516129032257,C,대상 캠퍼스 면적,공사 입찰 집행한도,부분 보수 총액으로 신축단가와 비교 불가,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00016-2/Section 2 - Bid Data Sheet (eng).docx,표 4 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00016&P_PBLANC_ODR=2,"대상 캠퍼스 면적 15,500.00㎡; 상세페이지 집행한도 USD 230,586; 산출단가 USD 15/㎡."
L2025-00012-2,2013-00064,2025-05-09,2025.3506849315067,Bolivia,Chacala,소규모 공공시설,신축,87.22,98954.0,,1134.5333639073608,B,총연면적,공사 입찰 집행한도,소규모 공사의 고정비 영향,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00012-2/(붙임1-2) 영문입찰계획서_Q-Lab_Chacala_Bid Data Sheet (BDS)_20250502.docx,표 3 행 7,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00012&P_PBLANC_ODR=2,"총연면적 87.22㎡; 상세페이지 집행한도 USD 98,954; 산출단가 USD 1,135/㎡."
L2025-00018-1,2021-00016,2025-04-02,2025.2493150684932,Ghana,미상,대학교 교육센터,신축,2684.36,4333427.0,,1614.3240846980284,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00018-1/1-2. Bid Data Sheet _영문.docx,표 4 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00018&P_PBLANC_ODR=1,"총연면적 2,684.36㎡; 상세페이지 집행한도 USD 4,333,427; 산출단가 USD 1,614/㎡."
L2025-00008-1,2021-00126,2025-02-14,2025.1205479452055,Kenya,미상,모자보건시설,신축,404.94,555810.0,,1372.573714624389,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00008-1/Tender document full set_Kajiado_0219 rev/Section 2 - Bid Data Sheet (eng)_0219.docx,표 4 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00008&P_PBLANC_ODR=1,"총연면적 404.94㎡; 상세페이지 집행한도 USD 555,810; 산출단가 USD 1,373/㎡."
L2025-00002-1,2022-00079,2025-01-10,2025.0246575342467,Indonesia,미상,사이버보안 교육센터,신축,2457.53,2361000.0,,960.7207236534243,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2025-00002-1/Section 2 - Bid Data Sheet_Final.docx,표 4 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00002&P_PBLANC_ODR=1,"총연면적 2,457.53㎡; 상세페이지 집행한도 USD 2,361,000; 산출단가 USD 961/㎡."
L2024-00079-1,2023-00052,2024-12-23,2024.9754098360656,Nepal,미상,재활용 산업 플랫폼,신축,4996.62,3534542.0,,707.3865933370959,A,총연면적,공사 입찰 집행한도,"산업시설·지하 1층 포함; 첨부 추정가격 USD 3,446,170과 상세페이지 집행한도 USD 3,534,542가 상이; VAT 제외",미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2024-00079-1/2. 포카라시 녹색일자리 창출사업 시공사 선정 BID DOCUMENTS(영문)_241217.docx,표 5 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00079&P_PBLANC_ODR=1,"총연면적 4,996.62㎡(지하 1층 포함); 첨부 추정가격 USD 3,446,170(약 USD 690/㎡), 상세페이지 집행한도 USD 3,534,542(약 USD 707/㎡); VAT 제외."
L2024-00078-1,2020-00070,2024-12-20,2024.967213114754,Dominican Republic,미상,직업훈련센터,신축,936.2,1187000.0,,1267.8914761803032,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2024-00078-1/Section 2 Bid data sheet_MVC Construction_v05_CLEAN.docx,표 2 행 7,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00078&P_PBLANC_ODR=1,"총연면적 936.20㎡; 상세페이지 집행한도 USD 1,187,000; 산출단가 USD 1,268/㎡."
L2024-00075-1,2020-00023,2024-11-20,2024.8852459016393,Laos,Paksong·Champasak,남부 농업훈련센터,신축,700,624034,,891.4771428571429,A,문서 명시 연면적,BDS Project Budget,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2024-00075-1/Section 2 - Bid Data Sheet_1120.pdf,페이지 5,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00075&P_PBLANC_ODR=1,"GFA 700㎡, Project Budget USD 624,034; 예정가격 USD 608,433."
L2024-00049-2,2021-00111,2024-11-01,2024.8333333333333,El Salvador,미상,ITCA 교육시설,신축,788.12,965000.0,,1224.4328274881998,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2024-00049-2/3. Bidding Document_ITCA (Construction)/Attachment 6. Scope of Works_ITCA  Construction.docx,문단 15,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00049&P_PBLANC_ODR=2,"총연면적 788.12㎡; 상세페이지 집행한도 USD 965,000; 산출단가 USD 1,224/㎡."
L2024-00066-1,2023-00032,2024-10-25,2024.8142076502731,Fiji,Fiji National University,의과대학 시뮬레이션센터,신축,1060,2406346,,2270.1377358490568,A,문서 명시 연면적,ToR 공사비 예산,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2024-00066-1/Section 5 - Terms of Reference (ToR) R1.doc,문단 46,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00066&P_PBLANC_ODR=1,"3층, 총연면적 약 1,060㎡, 공사비 예산 약 USD 2,406,346."
L2024-00050-1,2021-00042,2024-09-16,2024.707650273224,Uganda,미상,훈련복합시설,신축,4032,3910000.0,,969.7420634920635,B,동별 면적 합계,공사 입찰 집행한도,외부공사 포함 가능,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2024-00050-1/입찰계획안(영문)_240912.docx,표 4 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00050&P_PBLANC_ODR=1,"동별 면적 합계 4,032.00㎡; 상세페이지 집행한도 USD 3,910,000; 산출단가 USD 970/㎡."
L2024-00031-1,2022-00009,2024-05-29,2024.4071038251366,Nepal,Bhaktapur,보건·의료시설,신축,5898.25,4653720.0,,789.0001271563599,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2024-00031-1/1-2. BID DOCUMENTS-Project for Universal Health Coverage for the poor in vulnerable area in Bha.docx,표 5 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00031&P_PBLANC_ODR=1,"총연면적 5,898.25㎡; 상세페이지 집행한도 USD 4,653,720; 산출단가 USD 789/㎡."
L2024-00039-1,2014-00016,2024-05-12,2024.360655737705,Iraq,미상,직업훈련원,리모델링·개보수,8217,1811491.0,,220.45649263721552,C,대상 연면적,공사 입찰 집행한도,부분 리모델링 범위,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2024-00039-1/붙임3. Bidding Documents_20240702/Section 2 - Bid Data Sheet_20240701.docx,표 4 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00039&P_PBLANC_ODR=1,"대상 연면적 8,217.00㎡; 상세페이지 집행한도 USD 1,811,491; 산출단가 USD 220/㎡."
L2023-00068-1,2011-00008,2023-11-21,2023.8876712328768,Cambodia,미상,안과병원,리모델링·개보수,3500,239882.0,,68.53771428571429,C,대상 연면적,공사 입찰 집행한도,부분 보수 공사,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00068-1/입찰공고 관련서류 최종본/Section 2 - Bid Data Sheet (BDS).docx,표 5 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00068&P_PBLANC_ODR=1,"대상 연면적 3,500.00㎡; 상세페이지 집행한도 USD 239,882; 산출단가 USD 69/㎡."
L2023-00067-1,2020-00099,2023-11-21,2023.8876712328768,Kyrgyzstan,Bishkek,G-Cloud 시설,리모델링·개보수,420,280621.0,,668.1452380952381,B,대상 연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00067-1/ENG Version/ENG Version/-ENG_Section 2 Bid Data Sheet.docx,표 3 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00067&P_PBLANC_ODR=1,"대상 연면적 420.00㎡; 상세페이지 집행한도 USD 280,621; 산출단가 USD 668/㎡."
L2023-00060-1,2019-00037,2023-10-09,2023.7698630136986,El Salvador,미상,보건교육센터,신축,2983,3875000.0,,1299.0278243379148,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00060-1/붙임 1. 입찰공고문 및 서류_영문/Section 2 - Bid data sheet_eng.doc,문단 24,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00060&P_PBLANC_ODR=1,"총연면적 2,983.00㎡; 상세페이지 집행한도 USD 3,875,000; 산출단가 USD 1,299/㎡."
L2023-00038-1,2022-00076,2023-07-22,2023.5534246575342,Fiji,Tamavua·Suva,국립재활센터,신축,2700,5627206,,2084.15037037037,B,문서 명시 연면적,설계입찰 단계 공사비 예산,"면적이 약식값이며 상세 공간계획 합계는 2,686.4㎡.",미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00038-1/1. 입찰계획서(피지국립재활센터 건립사업 설계 및 감리 용역)-김우영-230713.hwp,문단 68 및 문단 70,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00038&P_PBLANC_ODR=1,"연면적 약 2,700㎡, 공사비 예산 USD 5,627,206."
L2023-00053-1,2020-00086,2023-07-17,2023.5397260273974,Uzbekistan,미상,직업훈련원,신축,6963,5361576.0,,770.0094786729858,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00053-1/Urgench VTC Bid Attachment Documents/Urgench VTC Bid Attachment Documents/Urgench_VTC_Bid Annoncement(The Daily Korean News for Korean Residents).docx,문단 10,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00053&P_PBLANC_ODR=1,"총연면적 6,963.00㎡; 상세페이지 집행한도 USD 5,361,576; 산출단가 USD 770/㎡."
L2023-00035-1,2019-00015,2023-07-07,2023.5123287671233,Kyrgyzstan,미상,공공서비스센터,리모델링·개보수,1739.82,388511.0,,223.30528445471373,C,대상 연면적,공사 입찰 집행한도,재활·보수 범위,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00035-1/DOC/OPSC_eng/ENG_Section 2 - Bid Data Sheet (BDS)_Kyrgyzstan_OPSC_22 JUNE_CM reviewed.docx,표 3 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00035&P_PBLANC_ODR=1,"대상 연면적 1,739.82㎡; 상세페이지 집행한도 USD 388,511; 산출단가 USD 223/㎡."
L2023-00045-1,2021-00055,2023-06-16,2023.454794520548,Senegal,미상,메이커스페이스,리모델링·개보수,453,297000.0,,655.6291390728477,B,대상 연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00045-1/입찰공고문_영문_Final.docx,문단 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00045&P_PBLANC_ODR=1,"대상 연면적 453.00㎡; 상세페이지 집행한도 USD 297,000; 산출단가 USD 656/㎡."
L2023-00022-1,2021-00075,2023-05-04,2023.33698630137,Timor-Leste,미상,농업 인프라 시설,신축·토목,826.8,1570000.0,,1898.887276245767,C,동별 면적 합계,공사 입찰 집행한도,도로·급수 등 토목 포함,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00022-1/Notice of Bid for Construction_230503.docx,표 1 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00022&P_PBLANC_ODR=1,"동별 면적 합계 826.80㎡; 상세페이지 집행한도 USD 1,570,000; 산출단가 USD 1,899/㎡."
L2023-00018-1,2020-00087,2023-04-18,2023.2931506849316,Indonesia,미상,청소년 재활시설,리모델링·개보수,6149,2355000.0,,382.98910391933646,C,대상 연면적,공사 입찰 집행한도,개보수 패키지,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00018-1/(붙임1) 취약계층 청소년 사회복귀 지원사업 시공사 선정 입찰계획(안) - v2.5.hwp,문단 67,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00018&P_PBLANC_ODR=1,"대상 연면적 6,149.00㎡; 상세페이지 집행한도 USD 2,355,000; 산출단가 USD 383/㎡."
L2023-00011-1,2021-00043,2023-03-28,2023.2356164383561,Uganda,미상,온실·창고,신축·토목,6456,1540000.0,,238.53779429987608,C,시설 면적 합계,공사 입찰 집행한도,온실 중심 비표준 시설,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00011-1/Section 2 - Bid Data Sheet (BDS).docx,표 5 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00011&P_PBLANC_ODR=1,"시설 면적 합계 6,456.00㎡; 상세페이지 집행한도 USD 1,540,000; 산출단가 USD 239/㎡."
L2023-00009-1,2019-00005,2023-03-20,2023.213698630137,Uganda,미상,옥수수 가공·시장시설,신축,827.4,272603.0,,329.46942228668115,B,시설 면적 합계,공사 입찰 집행한도,산업·시장시설,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00009-1/2. 입찰서류(영문)/Part 1(└╘┬√ └²┬≈)/Section 2 - Bid Data Sheet.docx,표 5 행 8,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00009&P_PBLANC_ODR=1,"시설 면적 합계 827.40㎡; 상세페이지 집행한도 USD 272,603; 산출단가 USD 329/㎡."
L2023-00021-1,2021-00064,2023-02-06,2023.0986301369862,Paraguay,미상,멀티미디어 교육지원센터,신축,,,1100,1100,A,직접 제시 계획단가,사무소 협의 적용단가,면적·총공사비가 아닌 직접 제시된 계획단가.,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2023-00021-1/붙임1. 파라과이 멀티미디어 센터 설계용역 입찰설명서(국문본)_최종_230130_기평팀.hwp,문단 567,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00021&P_PBLANC_ODR=1,"건축 공사비 단가 USD 1,100/㎡ 적용, 설계비 8% 적용."
L2022-00055-1,2019-00015,2022-09-22,2022.7232876712328,Kyrgyzstan,미상,약초 건조시설,신축,449.72,420285.0,,934.5481633016099,B,총연면적,공사 입찰 집행한도,산업시설,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2022-00055-1/(붙임1) 키르기즈 약초건조장 신축공사 현지 입찰 계획서(안) 국문_v4_0914_추가수정.hwp,문단 103,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00055&P_PBLANC_ODR=1,"총연면적 449.72㎡; 상세페이지 집행한도 USD 420,285; 산출단가 USD 935/㎡."
L2022-00046-1,2016-20176,2022-09-13,2022.6986301369864,Dominican Republic,미상,보건센터,신축,858,1507000.0,,1756.4102564102564,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2022-00046-1/(붙임2) 입찰안내서(영문)_최종/Section I_Bidding Guideline for Procurement of Contractor.docx,문단 57,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00046&P_PBLANC_ODR=1,"총연면적 858.00㎡; 상세페이지 집행한도 USD 1,507,000; 산출단가 USD 1,756/㎡."
L2022-00043-1,2020-00113,2022-09-01,2022.6657534246576,Bangladesh,미상,사이버수사 교육시설,신축,2194,1575000.0,,717.8669097538742,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2022-00043-1/붙임. 사이버안전을 위한 디지털 수사 역량 확산 사업 사이버 경찰센터 시공 입.doc,문단 3,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00043&P_PBLANC_ODR=1,"총연면적 2,194.00㎡; 상세페이지 집행한도 USD 1,575,000; 산출단가 USD 718/㎡."
L2022-00029-1,2021-00139,2022-06-06,2022.427397260274,Nepal,미상,모델 폴리테크닉,신축,5640.1,3744400.0,,663.8889381393947,A,총연면적,공사 입찰 집행한도,건물공사와 외부토목·조경·주차·배수 등 포함; VAT 제외,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2022-00029-1/2. 영문입찰계획서(네팔사무소 조정안)_0531.docx,표 1 행 4,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00029&P_PBLANC_ODR=1,"총연면적 5,640.10㎡; 상세페이지 집행한도 USD 3,744,400; 건물·외부공사 포함; VAT 제외; 산출단가 USD 664/㎡."
L2022-00027-1,2020-00073,2022-06-06,2022.427397260274,Ecuador,Quito,혁신센터,신축,3100,2670000,,861.2903225806451,A,문서 명시 연면적,CM 보고서 기반 추정공사비,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2022-00027-1/2. 입찰서류(영문)_키토혁신센터 설계_220531/1. Ecuador Bidding Guideline 20220531.docx,문단 57,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00027&P_PBLANC_ODR=1,"GFA 3,100㎡, 추정공사비 USD 2,670,000; 설계비율 6%."
L2022-00007-2,2016-20098,2022-05-30,2022.4082191780822,Indonesia,미상,경찰 교육시설,리모델링·개보수,1458,275400.0,,188.88888888888889,C,대상 연면적,공사 입찰 집행한도,개보수 패키지,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2022-00007-2/(붙임1) 220525인도네시아 경찰청사이버범죄수사 교육센타 시공사 선정 입찰계획(안) - 재공고.hwp,문단 64,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00007&P_PBLANC_ODR=2,"대상 연면적 1,458.00㎡; 상세페이지 집행한도 USD 275,400; 산출단가 USD 189/㎡."
L2021-00045-1,2019-00032,2021-12-28,2021.9890410958903,Paraguay,미상,항공훈련센터,신축,2866.41,2415000.0,,842.5172951531707,A,총연면적,공사 입찰 집행한도,,미보정,아니오,유사사례·현지견적 교차검증,2021-2025 수집분,L2021-00045-1/0 Bidding Guideline for Construction_ATC.docx,문단 92,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00045&P_PBLANC_ODR=1,"총연면적 2,866.41㎡; 상세페이지 집행한도 USD 2,415,000; 산출단가 USD 843/㎡."
