number,bid_base_no,order,bid_no,title,contract_type,contract_method,notice_date,manager,construction_candidate
13,L2020-00022,1,L2020-00022-1,에티오피아 오로미아주 모자보건 및 가족계획 역량강화사업 헤토사 1차 병원 현지시공 국제입찰,공사,일반경쟁,2020-10-17,신승환,True
14,L2020-00021,1,L2020-00021-1,탄자니아 전역 교육분야 결과기반 재정지원 프로그램 챌린지펀드 기금관리 용역,용역,일반경쟁,2020-10-07,모지은,False
15,L2020-00020,1,L2020-00020-1,미얀마 법령정보시스템 구축사업 사후관리 시스템 유지관리용역 현지입찰,용역,일반경쟁,2020-09-21,이찬영,False
16,L2020-00019,1,L2020-00019-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 림삐오 병원 신관 신축 및 구관 리모델링 현지 감리업체 선정 국제경쟁입찰,용역,일반경쟁,2020-09-21,양현우,True
17,L2020-00018,1,L2020-00018-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 림삐오 병원 신관 신축 및 구관 리모델링 현지 시공업체 선정 국제경쟁입찰,공사,일반경쟁,2020-09-14,양현우,True
18,L2020-00017,1,L2020-00017-1,파라과이 도로기술연구소 구축을 통한 도로기술역량강화사업 기자재 입찰,물품,일반경쟁,2020-09-07,김현석,False
19,L2020-00016,1,L2020-00016-1,파라과이 항공 전문인력 역량강화사업 격납고 설계업체 선정 현지 국제경쟁입찰,용역,일반경쟁,2020-09-07,양현우,True
20,L2020-00015,1,L2020-00015-1,우간다 2020년 Mityana District 2개 Parish 전기 공급 공사,공사,일반경쟁,2020-09-01,권오진,True
21,L2020-00014,1,L2020-00014-1,우간다 2020년 Mpigi District 1개 Parish 국가 상수도 공급 공사,공사,일반경쟁,2020-09-01,권오진,True
22,L2020-00013,1,L2020-00013-1,우간다 2020년 Mityana District 2개 Parish 지하수 관정 수도 공급 공사,공사,일반경쟁,2020-09-01,권오진,True
23,L2020-00012,1,L2020-00012-1,파라과이 항공 전문인력 역량강화사업 항공교육훈련센터 설계업체 선정 현지 국제경쟁입찰,용역,일반경쟁,2020-08-31,양현우,True
24,L2020-00011,1,L2020-00011-1,잔지바르 중등교육 질 향상을 위한 통합적 교육환경 개선사업 사업수행기관 용역 현지입찰,용역,일반경쟁,2020-08-24,백기현,False
25,L2020-00010,1,L2020-00010-1,"코로나19 예방을 위한 필터 삽입형 마스크 업체선정(대형,  중형, 소형)",물품,일반경쟁,2020-08-07,강승헌,False
26,L2020-00009,1,L2020-00009-1,미얀마 농산물 유통센터 설립사업 시공업체 선정 입찰,공사,일반경쟁,2020-08-05,김지훈,True
27,L2020-00008,1,L2020-00008-1,에티오피아 통합적 식수위생환경 개선사업 내 KOICA자체사업 추진을 위한 용역 입찰,용역,일반경쟁,2020-07-26,조성희,False
28,L2020-00007,1,L2020-00007-1,요르단 시리아난민 밀집지역 취약계층 아동을 위한 3개 학교 건립사업 시공감리사 신규 선정 입찰,용역,수의계약,2020-07-15,유익,True
29,L2020-00006,1,L2020-00006-1,코로나 19 대응 한필 카비테 친선병원 시설개선공사,공사,일반경쟁,2020-07-24,예정은,True
30,L2020-00005,1,L2020-00005-1,네팔 트리부반 대학 ICT센터 설립사업” 사후관리 기자재 공급 및 설치 업체 선정,물품,일반경쟁,2020-06-30,유기쁨,False
31,L2020-00004,1,L2020-00004-1,모잠비크 직업훈련교육 역량강화사업 설계 및 시공감리 용역사 선정,용역,일반경쟁,2020-06-09,조아영,True
32,L2020-00003,1,L2020-00003-1,네팔 통합적 지역개발을 위한 연구개발 인프라구축사업 연구혁신센터 시공업체 선정 입찰,용역,일반경쟁,2020-05-25,김진화,True
33,L2020-00002,1,L2020-00002-1,미얀마 중앙 중추고속도로 타당성조사 사업 기자재 공급용역 현지입찰,물품,일반경쟁,2020-01-31,황수림,False
34,L2020-00001,2,L2020-00001-2,캄보디아 앙두엉 이비인후과(ENT)병원 역량강화사업 시공업체 선정 입찰,공사,일반경쟁,2020-02-07,강황욱,True
35,L2020-00001,1,L2020-00001-1,캄보디아 앙두엉 이비인후과(ENT)병원 역량강화사업 시공업체 선정 입찰,공사,일반경쟁,2020-01-15,강황욱,True
36,L2019-00047,1,L2019-00047-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 20개 보건소 일반-의료기자재 공급업체 선정 국제경쟁 재입찰,물품,일반경쟁,2019-12-31,양현우,False
37,L2019-00046,1,L2019-00046-1,필리핀 사무소 이전 관련 마감공사,용역,일반경쟁,2019-11-22,최미선,True
38,L2019-00045,1,L2019-00045-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 20개 보건소 일반·의료기자재 공급업체 선정 국제경쟁입찰,물품,일반경쟁,2019-11-06,전예영,False
39,L2019-00044,1,L2019-00044-1,"엘살바도르 치안강화를 위한 차량 자동인식시스템 구축사업, CCTV 역량강화센터 2층 리모델링 시공업체 선정",공사,일반경쟁,2019-11-01,이종수,True
40,L2019-00043,1,L2019-00043-1,요르단 시리아 난민 밀집지역 취약계층 아동을 위한 3개 학교 건립사업 자르카 학교 시공사 선정 입찰,공사,일반경쟁,2019-10-17,유익,True
41,L2019-00042,1,L2019-00042-1,엘살바도르 동부건조지역 수계 복원력증대를 통한 기후변화대응사업(17-20/800만불) 수자원복원 시행업체(PC) 선정,공사,일반경쟁,2019-04-12,이종수,True
42,L2019-00041,1,L2019-00041-1,엘살바도르 동부건조지역 수계 복원력증대를 통한 기후변화대응사업('17-'20/800만불) 수자원확보 시행업체(PC) 선정,공사,일반경쟁,2019-04-12,이종수,True
43,L2019-00040,2,L2019-00040-2,엘살바도르 동부건조지역 수계 복원력증대를 통한 기후변화대응사업(17-20/800만불) 산림복원 시행업체(PC) 선정,공사,일반경쟁,2019-09-11,이종수,True
44,L2019-00040,1,L2019-00040-1,엘살바도르 동부건조지역 수계 복원력증대를 통한 기후변화대응사업(17-20/800만불) 산림복원 시행업체(PC) 선정,공사,일반경쟁,2019-07-19,이종수,True
45,L2019-00039,1,L2019-00039-1,과테말라 치안역량강화를 위한 경찰교육시스템 개선사업 기자재 현지입찰,물품,일반경쟁,2019-09-16,강승헌,False
46,L2019-00038,1,L2019-00038-1,[2차 재공고] 에티오피아 오로미아주 도도타군 관개 및 농촌개발역량강화사업 관개대상지역 지역개발사업 기획을 위한 기초선조사 용역 입찰,용역,일반경쟁,2019-08-18,성지은,False
47,L2019-00037,1,L2019-00037-1,에티오피아 오로미아주 모자보건 및 가족계획 1차 병원 건립 설계 및 시공감리 용역업체 선정 현지입찰,용역,일반경쟁,2019-08-11,신승환,True
48,L2019-00036,1,L2019-00036-1,이집트 한-이 기술대학 설립사업 일반기자재 현지입찰,물품,일반경쟁,2019-07-03,오연금,False
49,L2019-00035,1,L2019-00035-1,인도네시아 사무소 이전에 따른 내부공사 현지입찰,용역,일반경쟁,2019-08-09,김세진,True
50,L2019-00034,1,L2019-00034-1,에티오피아 오로미아주 모자보건 및 가족계획 역량 강화사업 헤토사 1차 병원 설계 및 시공 감리 용역,용역,일반경쟁,2019-08-07,신승환,True
51,L2019-00033,1,L2019-00033-1,체퓩-키바비 식수개발사업 실시설계 및 분고마주 상수도 마스터 플랜 수립,용역,제한경쟁,2019-08-08,한윤정,True
52,L2019-00032,2,L2019-00032-2,[재공고]이라크 중환자 전문의료서비스 역량강화사업 시공 현지 입찰,공사,일반경쟁,2019-09-26,김현근,True
53,L2019-00032,1,L2019-00032-1,이라크 중환자 전문의료서비스 역량강화사업 시공 현지입찰,공사,일반경쟁,2019-07-31,서의택,True
54,L2019-00031,1,L2019-00031-1,네팔 농촌공동체 개발사업 주민제안사업 실행기관 선정,용역,일반경쟁,2019-03-28,김진화,False
55,L2019-00030,2,L2019-00030-2,방글라데시 소방방재 역량강화사업 시공업체 선정 입찰,공사,일반경쟁,2019-05-23,김태근,True
56,L2019-00030,1,L2019-00030-1,방글라데시 소방방재 역량강화사업 시공업체 선정 입찰,공사,일반경쟁,2019-04-01,김태근,True
57,L2019-00029,1,L2019-00029-1,방글라데시 소방방재 역량강화사업 시공업체 선정 입찰,공사,일반경쟁,2019-04-01,김태근,True
58,L2019-00028,3,L2019-00028-3,동티모르 아이나로주 모성보건서비스 개선사업 앰뷸런스 조달,물품,일반경쟁,2019-07-10,김식현,False
59,L2019-00028,2,L2019-00028-2,동티모르 아이나로주 모성보건서비스 개선사업 앰뷸런스 조달,물품,일반경쟁,2019-07-10,김식현,False
60,L2019-00028,1,L2019-00028-1,동티모르 아이나로주 모성보건서비스 개선사업 앰뷸런스 조달,물품,일반경쟁,2019-06-19,김식현,False
61,L2019-00027,1,L2019-00027-1,세렝게티 국립공원 홍보관 개선사업 전시물품 제작 및 설치 용역,용역,지명경쟁,2019-06-17,백기현,False
62,L2019-00026,1,L2019-00026-1,[재공고] 에티오피아 오로미아주 도도타군 관개 및 농촌개발역량강화사업 관개대상지역 지역개발사업 기획을 위한 기초선조사 용역 입찰,용역,일반경쟁,2019-07-07,성지은,False
63,L2019-00025,1,L2019-00025-1,파라과이 지속가능한 농촌개발 새마을운동 2차 시범사업 시행업체 선정 국제경쟁 신규 현지 입찰,용역,일반경쟁,2019-06-27,양현우,False
64,L2019-00024,1,L2019-00024-1,스리랑카 기술계 교사양성 및 재교육 사업 현지시공 국제입찰,공사,일반경쟁,2019-06-28,전경식,True
65,L2019-00023,1,L2019-00023-1,탄자니아 잔지바르 중등교육 질 향상을 위한 통합적 교육환경 개선사업 프로젝트컨설팅/M&E 용역 현지입찰,용역,일반경쟁,2019-06-13,백기현,False
66,L2019-00022,1,L2019-00022-1,에티오피아 오로미아주 도도타군 관개 및 농촌개발역량강화사업 관개대상지역 지역개발사업 기획을 위한 기초선조사 용역 입찰,용역,일반경쟁,2019-06-09,성지은,False
67,L2019-00021,1,L2019-00021-1,우즈베키스탄 페르가나 직업훈련원 건립 신축공사 시공업체 선정 현지입찰,공사,일반경쟁,2019-05-15,한송이,True
68,L2019-00020,1,L2019-00020-1,네팔 무구지역 모자보건 환경 개선사업의료기자재/집기 공급 및 설치업체 선정 현지  입찰,물품,일반경쟁,2019-05-04,장서희,False
69,L2019-00019,1,L2019-00019-1,네팔 카트만두대학 둘리켈 캠퍼스 내 “네팔기술혁신센터 건립사업” 설계 및 감리업체 선정 현지입찰 계획(안),용역,일반경쟁,2019-05-14,김진화,True
70,L2019-00018,2,L2019-00018-2,과테말라 치안강화를 위한 경찰교육시스템 개선사업 기자재 납품업체 선정을 위한 현지입찰,물품,일반경쟁,2019-05-08,이택근,False
71,L2019-00018,1,L2019-00018-1,과테말라 치안강화를 위한 경찰교육시스템 개선사업 기자재 납품업체 선정을 위한 현지입찰,물품,일반경쟁,2019-03-22,이택근,False
72,L2019-00017,1,L2019-00017-1,파라과이 산빠블로 모자병원 역량강화사업 일반기자재(전자제품) 공급업체 선정 현지 긴급 국제경쟁 재입찰,물품,일반경쟁,2019-03-22,양현우,False
73,L2019-00016,1,L2019-00016-1,요르단 자르카 기술고등학교 설립사업 시공사 선정 입찰,공사,일반경쟁,2019-04-17,유익,True
74,L2019-00015,2,L2019-00015-2,요르단 자르카 기술고등학교 설립사업 시공감리용역 업체 선정 입찰,용역,일반경쟁,2019-09-18,유익,True
75,L2019-00015,1,L2019-00015-1,요르단 자르카 기술고등학교 설립사업 시공감리용역 업체 선정 입찰,용역,일반경쟁,2019-04-03,유익,True
76,L2019-00014,1,L2019-00014-1,나이지리아 전자정부 역량강화사업 교육훈련센터 기자재 공급업체 선정 현지입찰,물품,일반경쟁,2019-04-11,장우찬,False
77,L2019-00013,1,L2019-00013-1,"한-네팔 친선병원 건립사업(2006-2008, 134만불) 사후관리 의료기자재 공급 및 설치 업체 선정",물품,일반경쟁,2019-03-27,김진화,True
78,L2019-00012,1,L2019-00012-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 병원 부속 응급실 및 입원실 신축 설계업체 선정 현지입찰,용역,일반경쟁,2019-03-20,전예영,True
79,L2019-00011,1,L2019-00011-1,라오스 이민국 신청사 건축 시공용역 현지입찰,공사,일반경쟁,2019-03-07,전명현,True
80,L2019-00010,1,L2019-00010-1,네팔 기술교사 역량강화를 통한 기술직업교육훈련 질적 제고 사업 IT 강의동 시공업체 선정 현지 입찰,공사,일반경쟁,2019-02-01,장서희,True
81,L2019-00009,1,L2019-00009-1,네팔 농촌공동체 개발 사업 지방정부 대상 ict 기기공급 및 설치용역 재입찰,물품,일반경쟁,2019-02-28,김진화,False
82,L2019-00008,1,L2019-00008-1,에티오피아 짐마지역 모성 및 신생아 보건서비스 체계 강화사업 의료기자재 조달 현지 입찰 재입찰,물품,일반경쟁,2018-05-31,성지은,False
83,L2019-00007,1,L2019-00007-1,에티오피아 짐마지역 모성 및 신생아 보건서비스 체계 강화사업 의료기자재 조달 입찰,물품,일반경쟁,2018-05-11,성지은,False
84,L2019-00006,1,L2019-00006-1,튀니지 남부지역 50MW 태양광발전소 건설 환경영향평가 수행용역,용역,지명경쟁,2019-01-07,우경수,False
85,L2019-00005,1,L2019-00005-1,파키스탄 카수르지역 하수 처리시설 건립사업 사지원사업 기자재 조달,물품,일반경쟁,2018-10-22,정종혁,True
86,L2019-00004,1,L2019-00004-1,에티오피아 짐마지역 모성 및 신생아 보건서비스 체계 강화 사업 의료기자재 공급업체 선정,물품,일반경쟁,2018-05-31,성지은,False
87,L2019-00003,1,L2019-00003-1,세네갈 고등기술전문대학(ISEP) 설립사업 ICT 기자재 및 네트워크 설치 현지입찰,물품,일반경쟁,2019-01-11,차은주,False
88,L2019-00002,1,L2019-00002-1,파라과이 산빠블로 모자병원 역량강화사업 일반기자재(전자제품) 공급업체 선정 현지 긴급 국제경쟁 신규입찰,물품,일반경쟁,2019-01-04,양현우,False
89,L2019-00001,1,L2019-00001-1,파라과이 산빠블로 모자병원 역량강화사업 일반기자재(가구) 공급업체 선정 현지 긴급 국제경쟁 신규입찰,물품,일반경쟁,2018-12-27,양현우,False
90,L2018-00032,1,L2018-00032-1,“네팔 농촌공동체 개발 사업”  지방정부 대상 ICT 기기 공급 및 설치 용역업체 선정 현지 입찰,물품,일반경쟁,2018-12-31,장서희,False
91,L2018-00031,1,L2018-00031-1,네팔 기술교사 역량강화를 통한 기술직업교육훈련 질적 제고사업 공과 실습 기자재 공급업체 선정 현지입찰,물품,일반경쟁,2018-12-09,장서희,False
92,L2018-00030,1,L2018-00030-1,파라과이 취약계층 노인 의료복지센터 정책수립 지원사업 감리업체 선정 현지 긴급 국제경쟁입찰,용역,일반경쟁,2018-11-28,양현우,True
93,L2018-00029,1,L2018-00029-1,(재입찰)볼리비아 El-Alto 한국병원 3차 지원사업 시공업체선정,공사,일반경쟁,2018-11-23,이윤석,True
94,L2018-00028,1,L2018-00028-1,파라과이 산빠블로 모자병원 역량강화사업 일반기자재(가구) 공급업체 선정 현지 긴급 국제경쟁 재입찰,물품,일반경쟁,2018-11-22,양현우,False
95,L2018-00027,1,L2018-00027-1,파라과이 산빠블로 모자병원 역량강화사업 일반기자재(전자제품) 공급업체 선정 현지 긴급 국제경쟁 재입찰,물품,일반경쟁,2018-11-22,양현우,False
96,L2018-00026,1,L2018-00026-1,볼리비아 엘알토 병원 3차 지원사업 시공 현지입찰,공사,일반경쟁,2018-10-07,이윤석,True
97,L2018-00025,2,L2018-00025-2,(재입찰)볼리비아 엘알토 한국병원 3차 지원사업 감리업체 선정,용역,일반경쟁,2018-12-14,이윤석,True
98,L2018-00025,1,L2018-00025-1,볼리비아 엘알토 한국병원 3차 지원사업 감리업체 선정,용역,제한경쟁,2018-10-21,이윤석,True
99,L2018-00024,1,L2018-00024-1,파라과이 산빠블로 모자병원 역량강화사업 일반기자재 공급업체 선정 현지 긴급 국제경쟁 신규 입찰,물품,일반경쟁,2018-10-25,양현우,False
100,L2018-00023,1,L2018-00023-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 보건소 신축 및 증개축 2단계 공사 시공업체 현지 긴급 국제경쟁 입찰,공사,일반경쟁,2018-10-22,양현우,True
101,L2018-00022,1,L2018-00022-1,파라과이 취약계층 노인 보건의료복지센터 정책수립 시공업체 선정 현지 긴급 국제경쟁입찰,공사,일반경쟁,2018-10-17,양현우,True
102,L2018-00021,1,L2018-00021-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 보건소 통합 감리용역 발주 현지 긴급 국제경쟁입찰,용역,일반경쟁,2018-10-10,양현우,True
103,L2018-00020,1,L2018-00020-1,요르단 시리아 난민밀집지역 취약계층 아동을 위한 3개 학교 건립사업 2개 학교 시공업체 선정 입찰,공사,일반경쟁,2018-10-02,유익,True
104,L2018-00019,1,L2018-00019-1,라오스 한라 직업기술개발원 역량강화사업 건축 공사 설계 및 시공 일괄 입찰,공사,일반경쟁,2018-10-02,여원영,True
105,L2018-00018,1,L2018-00018-1,필리핀 퀴리노 주 농촌종합개발 2차 사업 설계 및 시공 일괄용역 재입찰,용역,일반경쟁,2018-09-25,이상백,True
106,L2018-00017,1,L2018-00017-1,파라과이 산빠블로 모자병원 역량강화사업 일반기자재 공급업체 선정 현지 긴급 국제경쟁입찰,물품,일반경쟁,2018-09-19,양현우,False
107,L2018-00016,1,L2018-00016-1,방글라데시 다카지역 중등학교 IT교육지원사업 사후지원 수행기관 선정,용역,일반경쟁,2018-09-16,배진현,False
108,L2018-00015,1,L2018-00015-1,우즈베키스탄 페르가나 직업훈련원 건축 설계/감리업체 현지입찰,용역,일반경쟁,2018-09-14,한송이,True
109,L2018-00014,1,L2018-00014-1,파라과이 취약계층 노인 보건의료복지센터 정책수립 지원사업 산토 도밍고 노인 보인의료복지센터 신축 공사 시공자 선정 현지국제입찰,공사,일반경쟁,2018-08-14,양현우,True
110,L2018-00013,1,L2018-00013-1,세네갈 지속가능한 미곡가치사슬 강화사업 관개 및 건축 업체 선정,공사,일반경쟁,2018-08-14,이규홍,True
111,L2018-00012,1,L2018-00012-1,필리핀 퀴리노주 농촌종합개발 2차 사업 설계 및 시공 일괄용역,공사,일반경쟁,2018-08-07,이상백,True
112,L2018-00011,1,L2018-00011-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 의료강화사업/ 보건소 신축 1단계 공사,공사,일반경쟁,2018-07-18,예승아,True
113,L2018-00010,1,L2018-00010-1,농민협동조합 역량강화사업 현지 회계감사기관 업체 선정,용역,일반경쟁,2018-06-25,오승민,False
114,L2018-00009,1,L2018-00009-1,나이지리아 2개사업(전자정부 역량강화사업 및 초중등학교 시범단지 건립사업)기자재 공급 업체 선정,물품,일반경쟁,2018-06-05,박정은,True
115,L2018-00008,1,L2018-00008-1,스리랑카 기술계 교사양성 및 재교육 사업 신축 설계 및 CA용역 입찰,용역,일반경쟁,2018-05-16,전경식,True
116,L2018-00007,1,L2018-00007-1,베트남 한베과학기술연구원(VKIST) 설립사업 시공업체 선정,공사,일반경쟁,2018-05-16,임인영,True
117,L2018-00006,1,L2018-00006-1,미얀마 개발연구원 설립사업 시공업체 선정,공사,일반경쟁,2018-05-14,김성애,True
118,L2018-00005,1,L2018-00005-1,요르단 시리아 난민 밀집지역 취약계층 아동을 위한 3개 학교 건립사업 설계감리 용역 선정,용역,일반경쟁,2017-10-03,유익,True
119,L2018-00004,1,L2018-00004-1,방글라데시 안질환 예방 및 치료역량 강화사업 시공,공사,일반경쟁,2016-10-27,이기순,True
120,L2018-00003,1,L2018-00003-1,방글라데시 라즈샤히 직업훈련원 역량강화사업 설계 및 감리 용역,용역,일반경쟁,2016-01-06,이기순,True
121,L2018-00002,1,L2018-00002-1,방글라데시 간호전문대학원 설립사업 IT 및 네트워크 기자재 납품업체 선정,물품,일반경쟁,2016-02-04,최준호,False
122,L2018-00001,1,L2018-00001-1,방글라데시 소방방재 역량강화사업 종합방재센터 신축 설계 및 감리용역 입찰,용역,일반경쟁,2018-03-25,배진현,True
123,L2017-00011,1,L2017-00011-1,투르크메니스탄 가스직업훈련원 역량강화사업 설계시공입찰,공사,일반경쟁,2017-12-27,김민종,True
124,L2017-00010,1,L2017-00010-1,'방글라데시 간호전문 대학원 설립사업' 의료 및 실습용 기자재 구매 현지입찰,물품,일반경쟁,2017-12-06,배진현,False
125,L2017-00009,1,L2017-00009-1,에콰도르 야차이 지식기반도시 창업지원 및 기술이전센터 설계업체 선정,용역,일반경쟁,2017-10-21,김명진,True
126,L2017-00008,1,L2017-00008-1,가나 농민협동조합 역량강화사업 현지사업수행기관 선발,용역,일반경쟁,2017-10-02,오승민,False
127,L2017-00007,1,L2017-00007-1,라오스 청년동맹 IT센터 역량강화사업 시공업체 선정,공사,일반경쟁,2017-09-11,양정훈,True
128,L2017-00006,2,L2017-00006-2,에콰도르 과야스주 보건의료센터 건립사업 감리업체 선정,용역,일반경쟁,2017-10-16,김명진,True
129,L2017-00006,1,L2017-00006-1,에콰도르 과야스주 보건의료센터 건립사업 감리업체 선정,용역,일반경쟁,2017-09-01,김명진,True
130,L2017-00005,1,L2017-00005-1,에콰도르 과야스주 보건의료센터 건립사업 시공사 선정 입찰,공사,일반경쟁,2017-08-15,김명진,True
131,L2017-00004,1,L2017-00004-1,에콰도르 침보라소주 관개수로 건설 및 영농기술지원 2차사업 관개수로 건설,공사,일반경쟁,2017-06-27,김명진,True
132,L2017-00003,1,L2017-00003-1,‘세네갈 지속가능한 미곡가치사슬 강화사업’ 관개 및 건축 설계업체 선정,용역,일반경쟁,2017-06-28,유종화,True
133,L2017-00002,1,L2017-00002-1,방글라데시 라즈샤히 직업훈련원 역량강화 사업 시공업체 선정,공사,일반경쟁,2017-04-03,고아름,True
134,L2017-00001,1,L2017-00001-1,세네갈 고등기술전문대학(ISEP) 설립사업 및 농업기술학교(CIPA) 역량강화사업 시공업체 선정,공사,일반경쟁,2017-01-23,유종화,True
135,L2016-00004,2,L2016-00004-2,인도네시아 팔렘방시 배수시설 마스터플랜 및 기본설계사업 기자재 공급 업체 선정,물품,일반경쟁,2016-12-14,김소위,True
136,L2016-00004,1,L2016-00004-1,인도네시아 팔렘방시 배수시설 마스터플랜 및 기본설계사업 기자재 공급 업체 선정,물품,일반경쟁,2016-11-24,김소위,True
137,L2016-00003,1,L2016-00003-1,‘세네갈 고등기술전문대학(ISEP) 설립사업’ 및 ‘농업기술학교(CIH) 역량강화사업’ 시공업체 선정,공사,일반경쟁,2016-10-17,유종화,True
138,L2016-00002,1,L2016-00002-1,세네갈 중부지역 식수위생 개선사업 시공업체 선정,공사,일반경쟁,2016-09-30,차은주,True
139,L2016-00001,1,L2016-00001-1,고원지역 삶의 연속선상 건강증진 및 삶의 질 향상 예비조사 용역,용역,수의계약,2016-04-29,정용우,False
