project_no,country_ko,project_name,notice_count,bid_base_group_count,valid_area_cost_notice_count,valid_bid_nos,all_bid_nos,display_representative_bid,technical_evidence_bid,price_evidence_bid,best_grade,compact_grade,verification_level,scope_status,representative_area_m2,representative_construction_cost_usd,representative_amount_stage,screening_unit_usd_m2,unit_cost_allowed_use,direct_future_estimate_ready,screening_sample_weight,direct_estimate_sample_weight,related_other_package_grade,related_other_package_bid,related_other_package_note,duplicate_and_scope_warning,grade_detail,source_url,grade_system_version,audit_date
2016-20176,도미니카,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차사업_산후안 성보건센터 건립 시공사 선정 현지입찰,5,5,2,L2022-00032-1;L2022-00046-1,L2021-00011-1;L2022-00032-1;L2022-00040-1;L2022-00046-1;L2022-00060-1,L2022-00046-1,,L2022-00046-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,858.0,1507000.0,NOTICE_EXECUTION_CEILING,1756.4102564102564,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00046&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00075,동티모르,(신규재입찰) 동티모르 농민참여형 가치사슬 개선사업 농업용 인프라 시공,3,3,3,L2023-00006-1;L2023-00019-1;L2023-00022-1,L2023-00006-1;L2023-00019-1;L2023-00022-1,L2023-00022-1,,L2023-00022-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,826.8,1570000.0,NOTICE_EXECUTION_CEILING,1898.887276245767,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00022&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00028,라오스,라오스 청년동맹 IT센터 역량강화사업 시공업체 선정,1,1,1,L2017-00007-1,L2017-00007-1,L2017-00007-1,,L2017-00007-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,1562.68,1197640,ADVERTISED_BUDGET_CAP,766.4013105690224,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00007&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00202,라오스,라오스 이민국 신청사 건축 시공용역 현지입찰,1,1,1,L2019-00011-1,L2019-00011-1,L2019-00011-1,,L2019-00011-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,5625.0,5600000.0,NOTICE_EXECUTION_CEILING,995.5555555555555,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00011&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00023,라오스,라오스 남부 3개주 농촌개발사업 남부농업기술훈련원 건축 설계 및 시공감리 용역,2,2,1,L2024-00075-1,L2024-00024-1;L2024-00075-1,L2024-00075-1,,L2024-00075-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,700.0,624034.0,CONSTRUCTION_BUDGET,891.4771428571429,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00075&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00213,라오스,라오스 한라 직업기술개발원 역량강화사업 건축 공사 설계 및 시공 일괄 입찰,1,1,1,L2018-00019-1,L2018-00019-1,L2018-00019-1,,L2018-00019-1,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,MATCH,6186.0,2063987.0,NOTICE_EXECUTION_CEILING,333.65454251535726,초기 스크리닝만,0,1,0,,,,,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00019&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2019-00071,라오스,라오스 성생식 모자보건 RMNCH센터 및 여성폭력 예방대응 EVAW센터 시공업체 선정,1,1,1,L2022-00019-1,L2022-00019-1,L2022-00019-1,,L2022-00019-1,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,MATCH,989.0,1447700.0,NOTICE_EXECUTION_CEILING,1463.8018200202225,초기 스크리닝만,0,1,0,,,,,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00019&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2018-56501,모잠비크,(재공고) 모잠비크 마톨라 산업학교 역량강화사업 사후지원 보수 공사,2,1,2,L2025-00016-1;L2025-00016-2,L2025-00016-1;L2025-00016-2,L2025-00016-2,,L2025-00016-2,C-부분,C,V3_CURATED_AREA_COST_RECHECK,PARTIAL_SCOPE,15500.0,230586.0,NOTICE_EXECUTION_CEILING,14.876516129032257,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00016&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2019-00011,모잠비크,모잠비크 직업훈련교육 역량강화사업 설계 및 시공감리 용역사 선정,2,2,0,,L2020-00004-1;L2022-00001-1,L2022-00001-1,,L2022-00001-1,U,U,V3_SCOPE_REVIEW,PARTIAL_SCOPE,,2200000.0,NOTICE_EXECUTION_CEILING,,계산 금지,0,0,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,면적과 금액 범위가 부분·혼합되어 계산 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00001&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00046,모잠비크,모잠비크 도로안전 시범개선사업 시공업체 선정 입찰,1,1,0,,L2023-00032-1,L2023-00032-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,물품·비건축 또는 GFA 오탐으로 건축공사비 표본 제외,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00032&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00018,몽골,몽골 철도교통관제센터(RTCC) 건립 시공 입찰,1,1,1,L2023-00075-1,L2023-00075-1,L2023-00075-1,,L2023-00075-1,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,MATCH,3131.0,3454118.0,NOTICE_EXECUTION_CEILING,1103.199616735867,초기 스크리닝만,0,1,0,,,,,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00075&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-00067,미얀마,미얀마 농산물 유통센터 설립사업 시공업체 선정 입찰,1,1,1,L2020-00009-1,L2020-00009-1,L2020-00009-1,,L2020-00009-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,7450.0,3685199.0,NOTICE_EXECUTION_CEILING,494.6575838926174,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2020-00009&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00113,방글라데시,방글라데시 사이버안전을 위한 디지털수사역량 확산사업 챠토그램 사이버경찰센터 시공,1,1,1,L2022-00043-1,L2022-00043-1,L2022-00043-1,,L2022-00043-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2194.0,1575000.0,NOTICE_EXECUTION_CEILING,717.8669097538742,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00043&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2013-00064,볼리비아,볼리비아 고원 지역 농업 기계화 및 농민역량 강화를 통한 생산성 증대 사업 퀴노아 연구센터 차칼라 건립 공사 시공사 선정 현지 입찰 재공고,2,1,2,L2025-00012-1;L2025-00012-2,L2025-00012-1;L2025-00012-2,L2025-00012-2,L2025-00012-2,L2025-00012-2,B,B,V3_ORIGINAL_MANUAL,MATCH,87.22,98954.0,NOTICE_EXECUTION_CEILING,1134.5333639073608,현지단가 결합 수량모델,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,재공고의 동일 차칼라 blank BOQ; 한 표본으로 처리,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00012&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2013-00007,볼리비아,(재입찰)볼리비아 El-Alto 한국병원 3차 지원사업 시공업체선정,4,3,2,L2018-00026-1;L2018-00029-1,L2018-00026-1;L2018-00025-1;L2018-00029-1;L2018-00025-2,L2018-00029-1,,L2018-00029-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2879.23,4114500,BID_LIMIT,1429.027899820438,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00029&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2023-00004,볼리비아,볼리비아 엘알또 모성보건센터 신축/증축/보수 공사 설계사 선정,1,1,1,L2025-00078-1,L2025-00078-1,L2025-00078-1,,L2025-00078-1,C-부분,C,V3_CURATED_AREA_COST_RECHECK,PARTIAL_ATTACHMENT_CONSTRUCTION_BUDGET,1600.0,3226604.0,DESIGN_ESTIMATE,2016.6275,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00078&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00038,볼리비아,볼리비아 라파스 주 임상병리검사실 체계 강화사업 현지 설계입찰,2,1,0,,L2023-00070-1;L2023-00070-2,L2023-00070-2,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,2500.0,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00070&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
201701,세네갈,세네갈 고등기술전문대학(ISEP) 설립사업 및 농업기술학교(CIPA) 역량강화사업 시공업체 선정,1,1,1,L2017-00001-1,L2017-00001-1,L2017-00001-1,,L2017-00001-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,8694.0,5664262.66,ADVERTISED_ESTIMATED_BUDGET,651.5139935587762,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00001&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00055,세네갈,세네갈 ISEPDD 메이커스페이스 및 카페테리아 리모델링 공사 계약,1,1,1,L2023-00045-1,L2023-00045-1,L2023-00045-1,,L2023-00045-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,453.0,297000.0,NOTICE_EXECUTION_CEILING,655.6291390728477,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00045&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00048,세네갈,세네갈 미곡가치사슬 역량강화 2차사업 미곡종합처리장(RPC)/농기계서비스센터 건축 시공사 선정 현지입찰,2,2,0,,L2024-00062-1;L2025-00021-1,L2024-00062-1,,L2024-00062-1,U,U,V2R_HUMAN_REVIEWED_EXTRACTION,MATCH,,1910000.0,NOTICE_EXECUTION_CEILING,,계산 금지,0,0,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,유효 면적과 공사금액 결합요건 미충족,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00062&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00054,세네갈,세네갈 대국민 소통증진을 위한 국회의정활동시스템 현대화사업 리모델링 업체 선정 입,1,1,0,,L2023-00077-1,L2023-00077-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,물품·비건축 또는 GFA 오탐으로 건축공사비 표본 제외,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00077&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00003,세네갈,세네갈 실험실 리모델링 사업 Control Office 계약,1,1,0,,L2025-00106-1,L2025-00106-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00106&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2015-00011,스리랑카,스리랑카 기술계 교사양성 및 재교육 사업 신축 설계 및 CA용역 입찰,2,2,1,L2019-00024-1,L2018-00008-1;L2019-00024-1,L2019-00024-1,,L2019-00024-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,12974.0,7161000,BASIC_ESTIMATED_PRICE,551.950053954062,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00024&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2019-00027,알제리,알제리 사이버보안센터 건립사업 기자재 및 가구,1,1,0,,L2024-00074-1,L2024-00074-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,물품·비건축 또는 GFA 오탐으로 건축공사비 표본 제외,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00074&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00073,에콰도르,에콰도르 키토시 혁신센터 건립을 통한 창업 및 기업혁신 지원체계 강화사업 리모델링 설계 용역,1,1,1,L2022-00027-1,L2022-00027-1,L2022-00027-1,,L2022-00027-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH_ATTACHMENT_CONSTRUCTION_BUDGET,3100.0,2670000.0,DESIGN_ESTIMATE,861.2903225806451,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00027&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
L2017-0004,에콰도르,에콰도르 과야스주 보건의료센터 건립사업 시공사 선정 입찰,1,1,1,L2017-00005-1,L2017-00005-1,L2017-00005-1,,L2017-00005-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2541.35,3572800.0,NOTICE_EXECUTION_CEILING,1405.866960473764,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2017-00005&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2015-00006,에티오피아,에티오피아 오로미아주 모자보건 및 가족계획 역량 강화사업 헤토사 1차 병원 설계 및 시공 감리 용역,4,3,2,L2020-00022-1;L2020-00022-2,L2019-00034-1;L2019-00037-1;L2020-00022-1;L2020-00022-2,L2020-00022-2,,L2020-00022-2,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,4916.0,3116205.0,NOTICE_EXECUTION_CEILING,633.890358014646,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2020-00022&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00053,에티오피아,에티오피아 양질의 일자리 창출을 위한 ICT기반의 창업 및 중소기업(SME)육성 지원사업 ICT 센터 리모델링 공사,2,2,2,L2022-00068-1;L2023-00004-1,L2022-00068-1;L2023-00004-1,L2023-00004-1,,L2023-00004-1,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,MATCH,2443.0,704431.0,NOTICE_EXECUTION_CEILING,288.3467048710602,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00004&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00036,에티오피아,"에티오피아 가죽 및 가죽제품 강화 사업 신발 라스트 생산 공장 신축 및 보수 공사 설계, 감리 용역",1,1,0,,L2023-00061-1,L2023-00061-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,1250.0,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00061&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
