bid_base_no,project_no,country_ko,notice_count,bid_nos,representative_bid_no,latest_notice_date,representative_title,best_grade,scope_role,same_scope_status,area_m2,construction_cost_usd,screening_unit_usd_m2,duplicate_rule
L2018-00005,2016-00206,요르단,1,L2018-00005-1,L2018-00005-1,2017-10-03,요르단 시리아 난민 밀집지역 취약계층 아동을 위한 3개 학교 건립사업 설계감리 용역 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,3492.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00020,2016-00206,요르단,1,L2018-00020-1,L2018-00020-1,2018-10-02,요르단 시리아 난민밀집지역 취약계층 아동을 위한 3개 학교 건립사업 2개 학교 시공업체 선정 입찰,C,WORKS,MATCH,7599.0,5354000,704.566390314515,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00043,2016-00206,요르단,1,L2019-00043-1,L2019-00043-1,2019-10-17,요르단 시리아 난민 밀집지역 취약계층 아동을 위한 3개 학교 건립사업 자르카 학교 시공사 선정 입찰,C,WORKS,MATCH,3944.3,2654320.0,672.9508404533124,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2020-00007,2016-00206,요르단,1,L2020-00007-1,L2020-00007-1,2020-07-15,요르단 시리아난민 밀집지역 취약계층 아동을 위한 3개 학교 건립사업 시공감리사 신규 선정 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,10364.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00019,2016-00213,라오스,1,L2018-00019-1,L2018-00019-1,2018-10-02,라오스 한라 직업기술개발원 역량강화사업 건축 공사 설계 및 시공 일괄 입찰,C?,DESIGN_BUILD_WORKS,MATCH,6186.0,2063987.0,333.65454251535726,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00040,2016-00220,엘살바도르,2,L2019-00040-1;L2019-00040-2,L2019-00040-2,2019-09-11,엘살바도르 동부건조지역 수계 복원력증대를 통한 기후변화대응사업(17-20/800만불) 산림복원 시행업체(PC) 선정,X,NONBUILDING_OR_FALSE_AREA,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00041,2016-00220,엘살바도르,1,L2019-00041-1,L2019-00041-1,2019-04-12,엘살바도르 동부건조지역 수계 복원력증대를 통한 기후변화대응사업('17-'20/800만불) 수자원확보 시행업체(PC) 선정,X,NONBUILDING_OR_FALSE_AREA,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00042,2016-00220,엘살바도르,1,L2019-00042-1,L2019-00042-1,2019-04-12,엘살바도르 동부건조지역 수계 복원력증대를 통한 기후변화대응사업(17-20/800만불) 수자원복원 시행업체(PC) 선정,X,NONBUILDING_OR_FALSE_AREA,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00007,2016-20098,인도네시아,2,L2022-00007-1;L2022-00007-2,L2022-00007-2,2022-05-30,인도네시아 경찰청 사이버범죄수사 교육센터 프로젝트 리모델링업체 선정 입찰,C,WORKS,MATCH,1458.0,275400.0,188.88888888888889,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00012,2016-20150,필리핀,1,L2018-00012-1,L2018-00012-1,2018-08-07,필리핀 퀴리노주 농촌종합개발 2차 사업 설계 및 시공 일괄용역,C,DESIGN_BUILD_WORKS,MATCH,6615.0,4374688,661.3284958427815,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00042,2016-20150,필리핀,1,L2022-00042-1,L2022-00042-1,2022-08-19,필리핀 퀴리노주 농촌종합개발 2차사업 잔여공사 시공사 선정,C?,WORKS,MATCH,6635.0,1406000.0,211.90655614167295,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00011,2016-20176,도미니카,1,L2021-00011-1,L2021-00011-1,2021-04-16,도미니카(공) 미성년자 임신방지 및 여성보건환경 개선 3차사업 산후안 성보건센터 현지 설계업체 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,850.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00032,2016-20176,도미니카,1,L2022-00032-1,L2022-00032-1,2022-06-29,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차사업_산후안 성보건센터 건립 시공사 선정 현지입찰,C?,WORKS,MATCH,858.0,1507000.0,1756.4102564102564,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00040,2016-20176,도미니카,1,L2022-00040-1,L2022-00040-1,2022-08-10,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차사업_산후안 성보건센터 건립 감리사 선정 현지입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,1000.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00046,2016-20176,도미니카,1,L2022-00046-1,L2022-00046-1,2022-09-13,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차사업_산후안 성보건센터 건립 시공사 선정 현지입찰,C,WORKS,MATCH,858.0,1507000.0,1756.4102564102564,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00060,2016-20176,도미니카,1,L2022-00060-1,L2022-00060-1,2022-10-10,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차사업_산후안 성보건센터 건립 감리사 선정 현지입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,858.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2018-00015,2017-07115,우즈베키스탄,1,L2018-00015-1,L2018-00015-1,2018-09-14,우즈베키스탄 페르가나 직업훈련원 건축 설계/감리업체 현지입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,5000.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00021,2017-07115,우즈베키스탄,1,L2019-00021-1,L2019-00021-1,2019-05-15,우즈베키스탄 페르가나 직업훈련원 건립 신축공사 시공업체 선정 현지입찰,C,WORKS,MATCH,5455.0,5350000.0,980.7516040329973,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2020-00001,2017-07192,캄보디아,2,L2020-00001-1;L2020-00001-2,L2020-00001-2,2020-02-07,캄보디아 앙두엉 이비인후과(ENT)병원 역량강화사업 시공업체 선정 입찰,C,WORKS,MATCH,4177.94,4080000.0,976.5578251482789,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00009,2017-14639,페루,1,L2025-00009-1,L2025-00009-1,2025-03-03,페루 제3 한·페 의료센터 건립사업 리모델링 설계용역 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,1656.9,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00025,2017-14639,페루,1,L2025-00025-1,L2025-00025-1,2025-04-23,페루 제3 한·페 의료센터 건립사업 리모델링 설계용역 입찰(재공고),X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,1656.9,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2019-00046,2017-15267,필리핀,1,L2019-00046-1,L2019-00046-1,2019-11-22,필리핀 사무소 이전 관련 마감공사,U,MIXED_FITOUT_WORKS,PARTIAL_MIXED_COST,679.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2017-00001,201701,세네갈,1,L2017-00001-1,L2017-00001-1,2017-01-23,세네갈 고등기술전문대학(ISEP) 설립사업 및 농업기술학교(CIPA) 역량강화사업 시공업체 선정,C,WORKS,MATCH,8694.0,5664262.66,651.5139935587762,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00016,2018-56501,모잠비크,2,L2025-00016-1;L2025-00016-2,L2025-00016-2,2025-05-29,(재공고) 모잠비크 마톨라 산업학교 역량강화사업 사후지원 보수 공사,C-부분,WORKS,PARTIAL_SCOPE,15500.0,230586.0,14.876516129032257,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2020-00015,2019-00005,우간다,1,L2020-00015-1,L2020-00015-1,2020-09-01,우간다 2020년 Mityana District 2개 Parish 전기 공급 공사,X,NONBUILDING_OR_FALSE_AREA,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00009,2019-00005,우간다,1,L2023-00009-1,L2023-00009-1,2023-03-20,우간다 지속가능 농촌개발 시범마을 확산사업 옥수수 가공시설 및 여성친화적 시장 건축 공사,C,WORKS,MATCH,835.67,272603.0,326.20891021575505,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2020-00004,2019-00011,모잠비크,1,L2020-00004-1,L2020-00004-1,2020-06-09,모잠비크 직업훈련교육 역량강화사업 설계 및 시공감리 용역사 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00001,2019-00011,모잠비크,1,L2022-00001-1,L2022-00001-1,2022-01-14,모잠비크 직업훈련교육 역량강화사업 시공업체 선정 국제 경쟁입찰,U,WORKS,PARTIAL_SCOPE,,2200000.0,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00036,2019-00015,키르기즈,1,L2021-00036-1,L2021-00036-1,2021-11-01,키르기즈공화국 유기농업 정책이행지원 및 역량강화사업 유기농 로컬푸드마켓 현지 설계 및 감리업체 선정,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,487.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00055,2019-00015,키르기즈,1,L2022-00055-1,L2022-00055-1,2022-09-22,키르기즈공화국 유기농업정책 이행지원 및 역량강화 사업 약초건조장 신축공사 시공업체 선정 현지입찰,C,WORKS,MATCH,449.72,420285.0,934.5481633016099,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00035,2019-00015,키르기즈,1,L2023-00035-1,L2023-00035-1,2023-07-07,(긴급) 키르기스스탄 OPSC 개보수 공사 시공업체 선정 현지 입찰,C,WORKS,MATCH,1739.82,388511.0,223.30528445471373,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00074,2019-00027,알제리,1,L2024-00074-1,L2024-00074-1,2024-11-08,알제리 사이버보안센터 건립사업 기자재 및 가구,X,GOODS,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00030,2019-00032,파라과이,1,L2021-00030-1,L2021-00030-1,2021-10-20,파라과이 항공 전문인력 역량강화사업 격납고 현지 시공사 선정 국제경쟁 입찰,C,WORKS,MATCH,945.0,892000.0,943.9153439153439,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00042,2019-00032,파라과이,1,L2021-00042-1,L2021-00042-1,2021-11-17,파라과이 항공 전문인력 역량강화사업 격납고 현지 감리사 선정 국제경쟁 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,945.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00045,2019-00032,파라과이,1,L2021-00045-1,L2021-00045-1,2021-12-28,파라과이 항공 전문인력 역량강화사업 항공훈련센터 현지 시공사 선정 국제경쟁 입찰,C,WORKS,MATCH,2866.41,2415000.0,842.5172951531707,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00002,2019-00032,파라과이,1,L2022-00002-1,L2022-00002-1,2022-01-20,파라과이 항공 전문인력 역량강화사업 항공훈련센터 현지 감리사 선정 국제경쟁 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,2866.41,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00027,2019-00037,엘살바도르,1,L2023-00027-1,L2023-00027-1,2023-06-21,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 시공사 선정 입찰,C?,WORKS,MATCH,2983.0,3875000.0,1299.0278243379148,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00037,2019-00037,엘살바도르,1,L2023-00037-1,L2023-00037-1,2023-07-18,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 감리 용역 현지 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,2983.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00057,2019-00037,엘살바도르,1,L2023-00057-1,L2023-00057-1,2023-09-08,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 감리 용역 현지 입찰 (재공고),X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,2983.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00058,2019-00037,엘살바도르,1,L2023-00058-1,L2023-00058-1,2023-08-07,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 시공사 선정 입찰(재공고),C?,WORKS,MATCH,2983.0,3875000.0,1299.0278243379148,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00060,2019-00037,엘살바도르,1,L2023-00060-1,L2023-00060-1,2023-10-09,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 시공사 선정 입찰,C,WORKS,MATCH,2983.0,3875000.0,1299.0278243379148,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00031,2019-00045,파키스탄,1,L2021-00031-1,L2021-00031-1,2021-10-22,파키스탄 태양전지모듈 인증시험소 설립사업 시험소 신축공사 시공업체 선정 입찰,C,WORKS,MATCH,2349.2,1839007.0,782.8226630342244,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00015,2019-00064,캄보디아,1,L2021-00015-1,L2021-00015-1,2021-05-10,캄보디아 산학연계 비즈니스 인큐베이팅 체계 구축사업 시공업체 선정,C,WORKS,MATCH,2299.26,2746477.0,1194.5047537033654,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00016,2019-00066,캄보디아,2,L2021-00016-1;L2021-00016-2,L2021-00016-1,2021-06-18,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정,C,WORKS,MATCH,1325.32,1022588.0,771.5781848911961,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00025,2019-00066,캄보디아,1,L2021-00025-1,L2021-00025-1,2021-08-27,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 현지입찰(3차 신규),C?,WORKS,MATCH,1325.32,1074976.0,811.1067515769777,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2021-00037,2019-00066,캄보디아,1,L2021-00037-1,L2021-00037-1,2021-11-04,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 현지입찰(4차 신규),C?,WORKS,MATCH,1325.32,1074976.0,811.1067515769777,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00019,2019-00071,라오스,1,L2022-00019-1,L2022-00019-1,2022-05-24,라오스 성생식 모자보건 RMNCH센터 및 여성폭력 예방대응 EVAW센터 시공업체 선정,C?,WORKS,MATCH,989.0,1447700.0,1463.8018200202225,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00099,2019-03655,키르기스스탄,1,L2025-00099-1,L2025-00099-1,2025-11-13,키르기스스탄 추이 주 교내 위생환경 개선 사업(프로젝트봉사단) 리모델링 시공업체 선정 현지 입찰,C,WORKS,MATCH,255.52,200000.0,782.7175954915466,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00024,2020-00023,라오스,1,L2024-00024-1,L2024-00024-1,2024-05-21,라오스 남부 3개주 농촌개발사업 남부농업기술훈련원 건축 설계 및 시공감리 용역,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,700.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00075,2020-00023,라오스,1,L2024-00075-1,L2024-00075-1,2024-11-20,라오스 남부 3개주 농촌종합개발사업 남부농촌개발연수원 공사,C,WORKS,MATCH,700.0,624034.0,891.4771428571429,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00019,2020-00024,가나,1,L2025-00019-1,L2025-00019-1,2025-02-25,"가나 관개지구 공사(아베이만, 아세이만 관개시설 토목공사 및 태양광,양수장 설치 공사)",X,NONBUILDING_OR_FALSE_AREA,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00032,2020-00046,모잠비크,1,L2023-00032-1,L2023-00032-1,2023-06-30,모잠비크 도로안전 시범개선사업 시공업체 선정 입찰,X,NONBUILDING_OR_FALSE_AREA,NO_MATCH,,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2024-00062,2020-00048,세네갈,1,L2024-00062-1,L2024-00062-1,2024-10-21,세네갈 미곡가치사슬 역량강화 2차사업 미곡종합처리장(RPC)/농기계서비스센터 건축 시공사 선정 현지입찰,U,WORKS,MATCH,,1910000.0,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2025-00021,2020-00048,세네갈,1,L2025-00021-1,L2025-00021-1,2025-04-02,세네갈 미곡가치사슬 2차사업 미곡종합처리장(RPC)/농기계 서비스센터 건축시공 감리용역 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,4951.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00068,2020-00053,에티오피아,1,L2022-00068-1,L2022-00068-1,2022-11-25,에티오피아 양질의 일자리 창출을 위한 ICT기반의 창업 및 중소기업(SME)육성 지원사업 ICT 센터 리모델링 공사,C?,WORKS,MATCH,2443.0,704431.0,288.3467048710602,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00004,2020-00053,에티오피아,1,L2023-00004-1,L2023-00004-1,2023-02-10,에티오피아 양질의 일자리 창출을 위한 ICT기반의 창업 및 중소기업(SME)육성 지원사업 ICT 센터 리모델링 공사,C?,WORKS,MATCH,2443.0,704431.0,288.3467048710602,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2022-00059,2020-00070,도미니카,1,L2022-00059-1,L2022-00059-1,2022-10-04,도미니카(공) 여성 중심 취약계층 사회경제적 역량강화사업 - 하이나 및 몬테크리스티 직업훈련센터 설계용역 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,920.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
L2023-00040,2020-00070,도미니카,1,L2023-00040-1,L2023-00040-1,2023-08-08,도미니카공화국 여성 중심 취약계층 사회경제적 역량강화사업 - 몬테크리스티 직업훈련센터 설계용역 입찰,X,DESIGN_OR_SUPERVISION_SERVICE,NO_MATCH,900.0,,,동일 bid_base_no는 재공고군; 다른 base의 의미중복은 project sheet에서 별도 주의
