project_key,project_no,country_ko,representative_title,representative_construction_bid_title,grade,technical_status,grade_detail,price_stage,scope_status,verification_level,review_status,evidence_file,evidence_location,blocking_issue,next_action,verified_cost_amount,verified_cost_currency,verified_cost_per_gfa_m2,verified_item_note,candidate_record_count,linked_bid_count,linked_bid_nos,indexed_attachment_count,construction_attachment_count,unique_attachment_count,spreadsheet_count,boq_named_file_count,quantity_table_file_count,priced_table_file_count,max_quantity_rows_detected,max_priced_rows_detected,scan_error_file_count,gross_floor_area_m2_values,direct_project_estimate_ready,needs_local_rates,only_screening_or_trace,sample_weight,claim_boundary
2023-00098,2023-00098,몽골,"몽골 자동차 검사역량 제고 및 시설 개선을 통한 교통안전 강화 사업('23·'27/1,300만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,3,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2011-00050,2011-00050,미상,수단 농업기술훈련원 건립사업('11-'18/666만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2013-00020,2013-00020,미상,아이티 까라꼴 의류기술 훈련원 건립사업('13-'17/373만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2021-00070,2021-00070,미상,"한-메콩 생물다양성 센터 건립 및 역량강화사업('21-'26/1,000만...",,C,U,C4 미연결·기초정보: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:168,,방글라데시,"방글라데시 선진시장형 기술인력 양성을 위한 차토그램 한방직업훈련원 직업훈련체계 현대화('24·'27/1,000만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00097,2022-00097,베트남,베트남 한베 ICT 대학교 교육역량 강화 지원사업 스마트 캠퍼스 구축 물품(소프트웨어) 현지구매 계약,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:193,,베트남,베트남 후에시 문화관광 스마트시티 조성 지원사업의 다비엔섬 스마트 복합문화공간 및 보행교량 건축시공,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:289,,베트남,"베트남 메콩유역 롱안성 생활폐기물 분리배출 및 자원순환 촉진 사업('24·'28/1,083만불) 감리 용역",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:290,,베트남,"베트남 메콩유역 롱안성 생활폐기물 분리배출 및 자원순환 촉진 사업('24·'28/1,083만불) 시공 용역",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:291,,베트남,"베트남 메콩유역 롱안성 생활폐기물 분리배출 및 자원순환 촉진 사업('24·'28/1,083만불) 건축 및 토목 시공 용역",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2013-00064,2013-00064,볼리비아,볼리비아 고원 지역 농업 기계화 및 농민역량 강화를 통한 생산성 증대 사업 퀴노아 연구센터 차칼라 건립 공사 시공사 선정 현지 입찰,볼리비아 고원 지역 농업 기계화 및 농민역량 강화를 통한 생산성 증대 사업 퀴노아 연구센터 차칼라 건립 공사 시공사 선정 현지 입찰 재공고,B,B,수동검증완료: 건축·구조·전기·위생·조경 blank BOQ에 수량은 있으나 캐시 단가·금액은 0/공란,NONE,FULL,V3,수동검증완료,L2025-00012-1/.../Section 4. Q-Lab_Chacala_BOQ_blanked/,"A1 ARCHITECTURE, A2/A3 STRUCTURE, B ELECTRIC, F HYDRO, G LANDSCAPE",품목별 현지 단가 부재,볼리비아 현지 재료·노무·장비 단가 결합,,,,,1,7,L2021-00005-1;L2023-00012-1;L2023-00015-1;L2023-00031-1;L2023-00031-2;L2025-00012-1;L2025-00012-2,145,127,87,12,0,3,0,191,0,0,,0,1,0,1,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00038,2022-00038,볼리비아,볼리비아 라파스주 임상병리검사실체계 강화사업 감염의학연구소 구축 감리사 선정,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,4,L2023-00070-1;L2023-00070-2;L2025-00029-1;L2025-00030-1,42,0,27,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2023-00004,2023-00004,볼리비아,볼리비아 엘알또시 모성보건센터 신축/보수공사 설계사 선정,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2025-00078-1,3,0,3,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2024-00006,2024-00006,볼리비아,볼리비아 추키사카주 과학수사기관 신축공사 설계사 입찰,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2025-00068-1,4,0,4,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:129,,볼리비아,볼리비아 오루로 주 응급의료통제센터 설립 및 강화 사업('24·'28/650만불) 설계 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:261,,볼리비아,볼리비아 감자생산 선진화를 위한 스마트팜 적용 시범사업 현지 설계사,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2020-00048,2020-00048,세네갈,"세네갈 미곡가치사슬 강화 2차 사업('20·'26/1,100만불)",세네갈 미곡가치사슬 역량강화 2차사업 미곡종합처리장(RPC)/농기계서비스센터 건축 시공사 선정 현지입찰,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V2,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,4,L2024-00062-1;L2024-00062-2;L2024-00062-3;L2025-00021-1,19,1,19,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00003,2022-00003,세네갈,세네갈 국가공중보건 실험실 역량강화사업('22·'26/600만불) 실험실 리모델링 시공 용역,세네갈 실험실 리모델링 사업 Control Office 계약,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V2,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,2,3,L2025-00080-1;L2025-00106-1;L2025-00107-1,5,5,5,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2023-00061,2023-00061,세네갈,"세네갈 콜다 주 통합적 접근을 통한 미곡가치사슬 강화사업('23·'28/1,450만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2025-00077-1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:78,,세네갈,"세네갈 남부지역 농업기술 역량강화사업('25·'29/1,000만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:95,,세네갈,세네갈 중부지역 모자보건체계 강화사업 2단계(24·28/1250만불) 보건소 설계 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2016-00062,2016-00062,솔로몬군도,솔로몬군도 국립대학교 수산인력양성 지원사업(‘14·’18/500만불),,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2025-00099,2025-00099,알제리,알제리 경찰청 과학수사역량강화사업 과학실험실 실시설계 감리 용역,,C,U,U1 면적·금액 범위불일치 가능: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2025-00108-1,1,0,1,0,0,0,0,0,0,0,900,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2014-00008,2014-00008,에콰도르,에콰도르 과야스주 보건의료센터 건립 및 의료인력 역량강화사업('14-'2...,,C,U,C4 미연결·기초정보: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2020-00073,2020-00073,에콰도르,에콰도르 키토시 혁신센터 건립을 통한 창업 및 기업혁신 지원체계 강화 사...,,C,U,C3 첨부 문서추적: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2022-00027-1,8,0,8,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00039,2022-00039,에콰도르,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업('22·'28/900만불) 리모델링 시공 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,2,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00040,2022-00040,에콰도르,에콰도르 쿠엔카시 순환경제를 위한 폐기물 통합 관리 및 자원순환 역량강화사업 피차카이 자원집적단지 3개시설 설계,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2025-00064-1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2011-00023,2011-00023,에티오피아,에티오피아 아드와시 중학교 건립사업('11-'17/420만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2013-00027,2013-00027,에티오피아,에티오피아 티그라이주 직업훈련학교 건립사업('13-'19/687만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:73,,에티오피아,"에티오피아 낙농가치사슬 및 이해관계자 역량강화를 통한 유제품 품질 개선사업('23·'28/1,000만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
