country_ko,country_best_project_grade,country_sample_sufficiency,candidate_project_count,grade_a_projects,grade_b_projects,grade_c_projects,screening_c_projects,unresolved_u_projects,direct_estimate_project_count,quantity_only_project_count,linked_bid_count,indexed_attachment_count,note
에콰도르,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,4,0,0,4,0,4,0,0,2,8,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
에티오피아,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,3,0,0,3,0,3,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
엘살바도르,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,2,0,0,2,0,2,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
요르단,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,3,0,0,3,0,3,0,0,4,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
우간다,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,6,0,0,6,0,6,0,0,5,67,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
우크라이나,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,2,0,0,2,0,2,0,0,2,2,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
인도네시아,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,4,0,0,4,2,2,0,0,9,40,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
카메룬,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,3,0,0,3,0,3,0,0,4,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
케냐,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,2,0,0,2,0,2,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
코트디부아르,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,3,0,0,3,0,3,0,0,7,113,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
콜롬비아,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,2,0,0,2,0,2,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
키르기스스탄,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,4,0,0,4,1,3,0,0,8,137,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
타지키스탄,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
탄자니아,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,3,0,0,3,0,3,0,0,1,17,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
튀니지,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
파라과이,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
파키스탄,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,2,0,0,2,0,2,0,0,1,16,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
팔레스타인,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,1,0,0,1,0,1,0,0,0,0,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
필리핀,C,직접 산정근거 없음: 문서추적·원단위 스크리닝만,3,0,0,3,0,3,0,0,3,29,최고등급은 해당 국가의 최소 1개 사업 근거이며 국가 대표단가를 뜻하지 않음
