number,bid_base_no,order,bid_no,title,contract_type,contract_method,notice_date,manager,construction_candidate
33,L2025-00080,1,L2025-00080-1,(긴급) 세네갈 국가공중보건실험실(LNSP) 리모델링 시공사 선정 현지입찰,공사,일반경쟁,2025-09-29,남다현,True
34,L2025-00079,1,L2025-00079-1,인도네시아 보고르 대학교 농업생명과학 연구센터 신축공사 시공사 선정,공사,일반경쟁,2025-09-19,안광수,True
35,L2025-00078,1,L2025-00078-1,볼리비아 엘알또 모성보건센터 신축/증축/보수 공사 설계사 선정,용역,일반경쟁,2025-09-26,김도아,True
36,L2025-00077,1,L2025-00077-1,(긴급) 세네갈 콜다주 통합적 접근을 통한 미곡가치사슬 강화사업 관개지 개보수/건물 신축·개보수에 관한 세부설계 및 시공감리 용역 현지 긴급입찰,용역,일반경쟁,2025-09-17,권나연,True
37,L2025-00076,1,L2025-00076-1,키르기스스탄 그린모빌리티 실현을 위한 공공기관 전기차 전환사업 2025년 전기차 공급,물품,일반경쟁,2025-09-12,김영현,False
38,L2025-00075,1,L2025-00075-1,(긴급) 필리핀 기마라스주 해수양식센터 건립 설계 용역업체 선정,용역,일반경쟁,2025-09-13,유지영,True
39,L2025-00074,1,L2025-00074-1,파라과이 아순시온 대중교통 개선사업 신호제어기 자동전압조정기(AVR) 구매,물품,일반경쟁,2025-08-25,신영희,False
40,L2025-00073,1,L2025-00073-1,캄보디아 국립어린이병원 내과계 병동건립 및 의료인력역량 강화사업 내과계 병동 신축공사 시공사 선정 입찰,공사,일반경쟁,2025-09-08,이지혜,True
41,L2025-00072,1,L2025-00072-1,방글라데시 사이버안전을 위한 디지털 수사 역량 확산 사업(20-26/480만불) 기자재 공급,물품,일반경쟁,2025-09-11,공수진,False
42,L2025-00071,1,L2025-00071-1,한-이라크 심장병 어린이 전문병원 신축공사(재공고),공사,일반경쟁,2025-09-08,김성욱,True
43,L2025-00070,1,L2025-00070-1,한-이라크 심장병 어린이 전문병원 신축공사,공사,일반경쟁,2025-07-10,김성욱,True
44,L2025-00069,1,L2025-00069-1,[국제]나이지리아 디지털 거버넌스 기반환경 조성사업 NIN 등록 기자재 공급,물품,일반경쟁,2025-10-03,백기현,False
45,L2025-00068,1,L2025-00068-1,볼리비아 추키사카 과학수사연구소 신축공사 설계사 선정 입찰,용역,일반경쟁,2025-09-12,김도아,True
46,L2025-00067,2,L2025-00067-2,우즈베키스탄 지질재해와 지질자원 통합관리시스템 구축사업 DB 구축 전산기자재 현지 구매 입찰,물품,일반경쟁,2025-09-23,박설리,False
47,L2025-00067,1,L2025-00067-1,우즈베키스탄 지질재해와 지질자원 통합관리시스템 구축사업 DB 구축 전산기자재 현지 구매 입찰,물품,일반경쟁,2025-09-09,박설리,False
48,L2025-00066,1,L2025-00066-1,파키스탄 펀잡주 물탄시 우수저류시설 기본 및 실시설계 수립용역 현지입찰,용역,일반경쟁,2025-08-26,고하림,True
49,L2025-00065,1,L2025-00065-1,타지키스탄 농업용수 관개 관리 현대화 지원 사업 수로 준설 기자재 현지 입찰,물품,일반경쟁,2025-09-01,홍지예,False
50,L2025-00064,1,L2025-00064-1,에콰도르 쿠엔카시 순환경제를 위한 폐기물 통합 관리 및 자원순환 역량강화사업 피차카이 자원집적단지 3개 시설 설계,용역,일반경쟁,2025-10-06,홍의기,True
51,L2025-00063,1,L2025-00063-1,(긴급) 가나대학교 한-가나 연구 및 ICT 혁신센터 건립사업 시공감리용역 선정,용역,일반경쟁,2025-08-08,편신영,True
52,L2025-00062,1,L2025-00062-1,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,공사,일반경쟁,2025-08-06,오정호,True
53,L2025-00061,1,L2025-00061-1,가나 보건의료서비스네트워크(NoP) 강화를 통한 생식모자청소년보건영양 증진사업 회계감사 용역,용역,일반경쟁,2025-08-04,우경아,False
54,L2025-00060,1,L2025-00060-1,코트디부아르 지역균형발전을 위한 중부지역 직업전문학교 역량강화사업 설계 및 시공감리용역,용역,일반경쟁,2025-08-08,박채훈,True
55,L2025-00059,1,L2025-00059-1,필리핀 기마라스주 해수양식센터 건립 설계 및 시공감리 용역업체 선정,용역,일반경쟁,2025-08-07,유지영,True
56,L2025-00058,1,L2025-00058-1,키르키즈공화국 국회 디지털화 사업 시공,공사,일반경쟁,2025-08-05,정가영,True
57,L2025-00057,2,L2025-00057-2,키르기스스탄 그린모빌리티 실현을 위한 공공기관 전기차 전환사업 2025년 전기차 공급,물품,일반경쟁,2025-09-02,김영현,False
58,L2025-00057,1,L2025-00057-1,키르기스스탄 그린모빌리티 실현을 위한 공공기관 전기차 전환사업 2025년 전기차 공급,물품,일반경쟁,2025-08-01,김영현,False
59,L2025-00056,1,L2025-00056-1,캄보디아 직원훈련기관(TVET기관) ICT Lab 리모델링 설계·시공,공사,일반경쟁,2025-08-01,김수진,True
60,L2025-00055,1,L2025-00055-1,요르단 제라시주 알나심지역 노후 상수도 관망 개선사업 현지 설계감리사 입찰,용역,조달위탁,2025-06-17,전지현,True
61,L2025-00054,1,L2025-00054-1,키르키즈공화국 국회 디지털화 사업 시공,공사,일반경쟁,2025-07-24,표경주,True
62,L2025-00053,1,L2025-00053-1,탄자니아 잔지바르 해양수산분야 가치사슬구축 및 소득증대를 통한 여성권익 강화사업 설계 및 감리용역,용역,일반경쟁,2025-07-07,백승훈,True
63,L2025-00052,1,L2025-00052-1,코트디부아르 펠릭스 우푸에 부아니대학교 ICT 교육역량 강화 및 ICT 혁신센터 설립사업 PETROCI 건물 리모델링 공사,공사,제한경쟁,2025-07-04,박채훈,True
64,L2025-00051,2,L2025-00051-2,피지 국립재활센터 신축 공사,공사,일반경쟁,2025-09-12,장정인,True
65,L2025-00051,1,L2025-00051-1,피지 국립재활센터 신축 공사,공사,일반경쟁,2025-07-11,장정인,True
66,L2025-00050,2,L2025-00050-2,베트남 한베 ICT 대학교 교육역량 강화 지원사업 스마트 캠퍼스 구축 물품(상용 소프트웨어) 현지구매 계약,물품,일반경쟁,2025-07-22,김나래,False
67,L2025-00050,1,L2025-00050-1,베트남 한베 ICT 대학교 교육역량 강화 지원사업 스마트 캠퍼스 구축 물품(상용 소프트웨어) 현지구매 계약,물품,일반경쟁,2025-07-09,김나래,False
68,L2025-00049,2,L2025-00049-2,우크라이나 키이우주 재활의료 역량강화사업 재활센터 리모델링을 위한 설계 및 저작권 감리용역 현지 입찰,용역,일반경쟁,2025-08-05,김승범,True
69,L2025-00049,1,L2025-00049-1,우크라이나 키이우주 재활의료 역량강화사업 재활센터 리모델링을 위한 설계 및 저작권 감리용역 현지 입찰,용역,일반경쟁,2025-06-26,김승범,True
70,L2025-00048,1,L2025-00048-1,가나대학교 한-가나 연구 및 ICT 혁신센터 건립사업 시공감리용역,용역,일반경쟁,2025-07-04,오은수,True
71,L2025-00047,1,L2025-00047-1,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업 공사,공사,일반경쟁,2025-06-21,백소담,True
72,L2025-00046,1,L2025-00046-1,우간다 주요 채소작물 종자 가치사슬 역량강화사업 농기계 기자재 공급 현지입찰(재공고),물품,일반경쟁,2025-06-18,조숭호,False
73,L2025-00045,2,L2025-00045-2,“이라크 쿠르드 지역학교 내 난민통합교육 강화사업” 선도학교 및 교사연수센터 신축을 위한 설계 및 시공감리 업체 선정,용역,일반경쟁,2025-08-28,정준영,True
74,L2025-00045,1,L2025-00045-1,“이라크 쿠르드 지역학교 내 난민통합교육 강화사업” 선도학교 및 교사연수센터 신축을 위한 설계 및 시공감리 업체 선정,용역,일반경쟁,2025-06-15,정준영,True
75,L2025-00044,1,L2025-00044-1,우간다 주요 채소작물 종자 가치사슬 역량강화사업 농기계 기자재 공급 현지입찰,물품,일반경쟁,2025-05-01,조숭호,False
76,L2025-00043,1,L2025-00043-1,우간다 주요 채소작물 종자 가치사슬 역량강화사업 실험실 기자재 공급용역,물품,일반경쟁,2025-05-01,조숭호,False
77,L2025-00042,2,L2025-00042-2,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업(22-28/900만불)  기자재(바이오센터-2) 입찰,물품,일반경쟁,2025-10-17,배한준,False
78,L2025-00042,1,L2025-00042-1,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업(22-28/900만불)  기자재(바이오센터-2) 입찰,물품,일반경쟁,2025-09-25,배한준,False
79,L2025-00041,2,L2025-00041-2,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업 실험실 기자재(바이오센터-1) 입찰,물품,일반경쟁,2025-09-03,배한준,False
80,L2025-00041,1,L2025-00041-1,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업 실험실 기자재(바이오센터-1) 입찰,물품,일반경쟁,2025-07-10,배한준,False
81,L2025-00040,1,L2025-00040-1,베트남 띠엔비엔성 소외지역 전력인프라 구축을 통한 농촌 자립역량 강화사업 환경사회영향평가,용역,일반경쟁,2025-06-04,김여호,False
82,L2025-00038,1,L2025-00038-1,도미니카공화국 몬테 크리스티 직업훈련센터 (MVC) 감리사 선정,용역,일반경쟁,2025-06-09,강현한,True
83,L2025-00037,1,L2025-00037-1,캄보디아 고등인재양성 왕립프놈펜대학 환경공학과 설립사업 고급 실험 기자재 구매 입찰,물품,일반경쟁,2024-06-20,채정원,False
84,L2025-00036,1,L2025-00036-1,캄보디아 당까오 후송병원 공공의료서비스 개선사업 병원신축 설계감리용역,용역,일반경쟁,2025-05-30,신정연,True
85,L2025-00035,1,L2025-00035-1,캄보디아 고등인재양성 왕립프놈펜대학 환경공학과 설립사업 에너지/자원 분야 실험 기자재 구매 입찰,물품,일반경쟁,2025-06-02,채정원,False
86,L2025-00034,2,L2025-00034-2,[재공고] 캄보디아 고등인재양성 왕립프놈펜대학 환경공학과 설립사업 사무실 기자재 2차 구매 입찰,물품,일반경쟁,2025-07-23,김수진,False
87,L2025-00034,1,L2025-00034-1,캄보디아 고등인재양성 왕립프놈펜대학 환경공학과 설립사업 사무실 기자재 2차 구매 입찰,물품,일반경쟁,2025-05-28,김수진,False
88,L2025-00033,1,L2025-00033-1,(3차공고) 세네갈 콜다주 통합적 접근을 통한 미곡가치사슬 강화사업 차량 공급업체 선정 현지입찰 계획(안),물품,일반경쟁,2025-06-27,권나연,False
89,L2025-00032,2,L2025-00032-2,카메룬 전자정부 인식개선 및 역량강화 사업 신축 시공 입찰,공사,일반경쟁,2025-07-28,이상은,True
90,L2025-00032,1,L2025-00032-1,카메룬 전자정부 인식개선 및 역량강화 사업 신축 시공 입찰,공사,일반경쟁,2025-05-28,이상은,True
91,L2025-00031,1,L2025-00031-1,캄보디아 농촌공동체 개발사업 사후지원 캄-한 농촌개발센터 개보수 시공 입찰,공사,일반경쟁,2025-05-28,신용화,True
92,L2025-00030,1,L2025-00030-1,볼리비아 라파스주 임상병리검사실체계 강화사업 감염병 예방의학연구소 구축 감리사 선정,용역,일반경쟁,2025-06-06,김도아,True
93,L2025-00029,1,L2025-00029-1,볼리비아 라파스주 임상병리검사실체계 강화사업 감염병 예방의학연구소 구축 시공사 선정,공사,일반경쟁,2025-05-29,김도아,True
94,L2025-00028,1,L2025-00028-1,키르키즈공화국 국회 디지털화 사업 시공,공사,일반경쟁,2025-05-21,표경주,True
95,L2025-00027,1,L2025-00027-1,캄보디아 농촌종합개발을 통한 평화마을 조성사업 농업기술지도 수행업체 선정(2차) (긴급),용역,일반경쟁,2025-05-20,신용화,False
96,L2025-00025,1,L2025-00025-1,페루 제3 한·페 의료센터 건립사업 리모델링 설계용역 입찰(재공고),용역,일반경쟁,2025-04-23,송병주,True
97,L2025-00024,1,L2025-00024-1,베트남 한베 ICT 대학교 교육역량 강화 지원사업 ICT 혁신센터 구축 물품 현지구매(제조) 계약,물품,일반경쟁,2025-05-02,류누리,False
98,L2025-00023,1,L2025-00023-1,베트남 한베 ICT 대학교 교육역량 강화 지원사업 스마트 캠퍼스 구축 물품(상용 소프트웨어) 현지구매 계약,물품,일반경쟁,2025-04-28,류누리,False
99,L2025-00022,1,L2025-00022-1,(재공고) 세네갈 콜다주 통합적 접근을 통한 미곡가치사슬 강화사업 차량 공급업체 선정 현지입찰 계획(안),물품,일반경쟁,2025-04-16,권나연,False
100,L2025-00021,1,L2025-00021-1,세네갈 미곡가치사슬 2차사업 미곡종합처리장(RPC)/농기계 서비스센터 건축시공 감리용역 입찰,용역,일반경쟁,2025-04-02,궁성민,True
101,L2025-00020,1,L2025-00020-1,세네갈 콜다주 통합적 접근을 통한 미곡가치사슬 강화사업 차량 공급업체 선정 현지입찰 계획(안),물품,일반경쟁,2025-03-31,권나연,False
102,L2025-00019,1,L2025-00019-1,"가나 관개지구 공사(아베이만, 아세이만 관개시설 토목공사 및 태양광,양수장 설치 공사)",공사,조달위탁,2025-02-25,오은수,True
103,L2025-00018,1,L2025-00018-1,가나대학교 한-가나 연구 및 ICT 혁신센터 건립사업 공사,공사,일반경쟁,2025-04-02,오은수,True
104,L2025-00017,2,L2025-00017-2,이라크 아르빌 자이툰 도서관 개보수(리모델링) 공사 시공업체 선정,공사,조달위탁,2025-05-08,정준영,True
105,L2025-00017,1,L2025-00017-1,이라크 아르빌 자이툰 도서관 개보수(리모델링) 공사 시공업체 선정 입찰,공사,조달위탁,2025-03-24,정준영,True
106,L2025-00016,2,L2025-00016-2,(재공고) 모잠비크 마톨라 산업학교 역량강화사업 사후지원 보수 공사,공사,일반경쟁,2025-05-29,하예지,True
107,L2025-00016,1,L2025-00016-1,모잠비크 마톨라 산업학교 역량강화사업 사후지원 보수 공사,공사,일반경쟁,2025-04-09,하예지,True
108,L2025-00015,2,L2025-00015-2,피지 농업공존형 태양광 발전사업(GCF) 영농기술센터 및 농기자재 보관창고 신축,공사,일반경쟁,2025-08-05,이지수,True
109,L2025-00015,1,L2025-00015-1,피지 농업공존형 태양광 발전사업(GCF) 영농기술센터 및 농기자재 보관창고 신축,공사,일반경쟁,2025-04-02,이지수,True
110,L2025-00014,1,L2025-00014-1,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업 감리용역,용역,일반경쟁,2025-03-15,백소담,True
111,L2025-00013,1,L2025-00013-1,베트남 후에시 문화관광DB 구축 파일럿 사업 현지 입찰,용역,일반경쟁,2025-03-17,빈재만,False
112,L2025-00012,2,L2025-00012-2,볼리비아 고원 지역 농업 기계화 및 농민역량 강화를 통한 생산성 증대 사업 퀴노아 연구센터 차칼라 건립 공사 시공사 선정 현지 입찰 재공고,공사,일반경쟁,2025-05-09,박서영,True
113,L2025-00012,1,L2025-00012-1,볼리비아 고원 지역 농업 기계화 및 농민역량 강화를 통한 생산성 증대 사업 퀴노아 연구센터 차칼라 건립 공사 시공사 선정 현지 입찰,공사,일반경쟁,2025-02-28,박서영,True
114,L2025-00011,1,L2025-00011-1,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업 공사,공사,일반경쟁,2025-03-08,백소담,True
115,L2025-00010,1,L2025-00010-1,도미니카공화국 여성 중심 취약계층 사회경제적 역량강화사업 하이나 직업훈련센터 리모델링 설계용역,용역,일반경쟁,2025-04-30,강현한,True
116,L2025-00009,1,L2025-00009-1,페루 제3 한·페 의료센터 건립사업 리모델링 설계용역 입찰,용역,일반경쟁,2025-03-03,송병주,True
117,L2025-00008,1,L2025-00008-1,케냐 카지아도주 보건시스템 강화를 위한 모성 및 신생아 보건 개선사업 시공,공사,일반경쟁,2025-02-14,백주영,True
118,L2025-00007,2,L2025-00007-2,도미니카공화국 몬테 크리스티 직업훈련센터 (MVC) 감리사 선정,용역,일반경쟁,2025-04-11,강현한,True
119,L2025-00007,1,L2025-00007-1,도미니카공화국 몬테 크리스티 직업훈련센터 (MVC) 감리사 선정,용역,일반경쟁,2025-03-03,강현한,True
120,L2025-00006,1,L2025-00006-1,탄자니아 도도마주 유수율 제고 시범모델 구축 및 상수도 시설 개선사업 기본 및 실시설계 용역,용역,일반경쟁,2025-02-10,백승훈,True
121,L2025-00005,1,L2025-00005-1,"엘살바도르 산간지역 고위험 산모·신생아 조기발견 및 이송체계 강화지원을 위한 신생아 및 산모 이송용 구급차, 이동식 진료차량 구매 현지입찰",물품,일반경쟁,2025-02-05,김강희,False
122,L2025-00004,1,L2025-00004-1,인도네시아 국립대학교 ICT기반 통합지식교육센터 신축공사를 위한 시공사 선정,공사,일반경쟁,2025-01-22,안광수,True
123,L2025-00003,2,L2025-00003-2,키르키즈공화국 국회 디지털화 사업 시공,공사,일반경쟁,2025-01-16,표경주,True
124,L2025-00003,1,L2025-00003-1,키르키즈공화국 국회 디지털화 사업 시공,공사,일반경쟁,2024-12-30,표경주,True
125,L2025-00002,1,L2025-00002-1,인도네시아 사이버보안 훈련센터 신축공사 시공사 선정,공사,일반경쟁,2025-01-10,이지혜,True
126,L2025-00001,1,L2025-00001-1,튀니지 산업재산권 공공행정 정보시스템 개선 사업(22-27/373만불) 기자재 구매(PC사) 현지 입찰,물품,일반경쟁,2024-12-27,김태일,False
127,L2024-00080,1,L2024-00080-1,"엘살바도르 산간지역 고위험 산모·신생아 조기발견 및 이송체계 강화지원을 위한 신생아 및 산모 이송용 구급차, 이동식 진료차량 구매 현지입찰",물품,일반경쟁,2024-12-16,김강희,False
128,L2024-00079,1,L2024-00079-1,네팔 포카라시 리사이클/업사이클 플랫폼 및 친환경 시범마을 구축을 통한 녹색일자리 창출사업(23~29/980만불) 시공업체 선정,공사,일반경쟁,2024-12-23,정윤희,True
129,L2024-00078,1,L2024-00078-1,도미니카공화국 몬테 크리스티 직업훈련센터 (MVC)  시공사 선정,공사,일반경쟁,2024-12-20,강현한,True
130,L2024-00077,1,L2024-00077-1,"엘살바도르 산간지역 고위험 산모·신생아 조기발견 및 이송체계 강화지원을 위한 신생아 및 산모 이송용 구급차, 이동식 진료차량 구매 현지입찰",물품,일반경쟁,2024-11-25,김강희,False
131,L2024-00076,1,L2024-00076-1,페루 쿠스코시 폐기물 통합관리 및 순환경제 구축사업 퇴비화 시범 플랜트 설계용역,공사,일반경쟁,2024-11-25,김소연,True
132,L2024-00075,1,L2024-00075-1,라오스 남부 3개주 농촌종합개발사업 남부농촌개발연수원 공사,공사,일반경쟁,2024-11-20,김여진,True
133,L2024-00074,1,L2024-00074-1,알제리 사이버보안센터 건립사업 기자재 및 가구,물품,일반경쟁,2024-11-08,장봉희,True
134,L2024-00073,1,L2024-00073-1,베트남 까오방성 소수민족학교 교육환경 개선 소규모 무상원조 기자재 납품용역 현지 입찰,물품,일반경쟁,2024-10-28,빈재만,False
135,L2024-00072,1,L2024-00072-1,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,용역,일반경쟁,2024-10-08,오상은,True
136,L2024-00071,1,L2024-00071-1,가나 보건 2개 사업기금 회계감사 용역업체 선정,용역,일반경쟁,2024-10-25,전유선,False
137,L2024-00070,1,L2024-00070-1,세네갈 포도르지역 새마을 시범마을 통한 농촌개발사업 농기자재 공급업체 선정,물품,일반경쟁,2024-11-04,황유진,False
138,L2024-00069,1,L2024-00069-1,[긴급] 에티오피아 가죽 및 가죽제품 강화 사업 신발 라스트 생산 공장 신축 및 보수 공사 시공 용역,공사,일반경쟁,2024-10-21,박영신,True
139,L2024-00068,2,L2024-00068-2,[긴급] 코트디부아르 국립직업기술교육원 교사 ICT기반 교수역량강화사업 리모델링 공사,공사,일반경쟁,2024-11-14,박채훈,True
140,L2024-00068,1,L2024-00068-1,[긴급] 코트디부아르 국립직업기술교육원 교사 ICT기반 교수역량강화사업 리모델링 공사,공사,일반경쟁,2024-10-25,박채훈,True
141,L2024-00067,1,L2024-00067-1,세네갈 미곡가치사슬 2차사업 농기자재 및 사용자 교육 공급업체 선정,물품,일반경쟁,2024-10-28,황유진,False
142,L2024-00066,1,L2024-00066-1,피지국립의과대학 의료인력 역량강화사업  설계 및 감리용역,용역,일반경쟁,2024-10-25,장정인,True
143,L2024-00065,2,L2024-00065-2,에콰도르 갈라파고스 태양광 발전소 건립사업 사후지원 공사,공사,일반경쟁,2024-11-19,배한준,True
144,L2024-00065,1,L2024-00065-1,에콰도르 갈라파고스 태양광 발전소 건립사업 사후지원 공사,공사,일반경쟁,2024-10-22,배한준,True
145,L2024-00064,1,L2024-00064-1,세네갈 포도르지역 새마을 시범마을 통한 농촌개발사업 농기자재 공급업체 선정,물품,일반경쟁,2024-10-14,황유진,False
146,L2024-00063,1,L2024-00063-1,인도네시아 국립대학교 ICT기반 통합지식교육센터 신축공사를 위한 시공사  선정,공사,일반경쟁,2024-10-14,안광수,True
147,L2024-00062,3,L2024-00062-3,세네갈 미곡가치사슬 역량강화 2차사업 미곡종합처리장(RPC)/농기계서비스센터 건축 시공사 선정 현지입찰,공사,일반경쟁,2024-12-31,황유진,True
148,L2024-00062,2,L2024-00062-2,세네갈 미곡가치사슬 역량강화 2차사업 미곡종합처리장(RPC)/농기계서비스센터 건축 시공사 선정 현지입찰,공사,일반경쟁,2024-11-27,황유진,True
149,L2024-00062,1,L2024-00062-1,세네갈 미곡가치사슬 역량강화 2차사업 미곡종합처리장(RPC)/농기계서비스센터 건축 시공사 선정 현지입찰,공사,일반경쟁,2024-10-21,황유진,True
150,L2024-00061,1,L2024-00061-1,우간다 주요 채소작물 종자 가치사슬 역량강화사업 농기계(트랙터 및 부착기) 기자재 공급 현지입찰,물품,일반경쟁,2024-08-09,조숭호,False
151,L2024-00060,1,L2024-00060-1,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업 바이오센터 기자재,물품,일반경쟁,2024-10-15,배한준,False
152,L2024-00059,2,L2024-00059-2,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업 실험실 기자재(INABIO CENTER),물품,일반경쟁,2025-01-10,배한준,False
153,L2024-00059,1,L2024-00059-1,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업 실험실 기자재(INABIO CENTER),물품,일반경쟁,2024-10-15,배한준,False
154,L2024-00058,1,L2024-00058-1,"엘살바도르 산간지역 고위험 산모·신생아 조기발견 및 이송체계 강화지원을 위한 신생아 및 산모 이송용 구급차, 이동식 진료차량 구매 현지입찰",물품,일반경쟁,2024-10-11,김강희,False
155,L2024-00057,1,L2024-00057-1,세네갈 국가공중보건실험실 체계강화사업 루가/까올락 지역병원실험실 기자재 및 사용자 교육 공급업체 선정,물품,일반경쟁,2024-10-07,유민구,False
